rule,tau1,tau2,pgd_recall,pgd_fp,walkrun_fp,precision,specificity,f1,clean_fall_recall,clean_fp,pgd20_recall
B_margin,2.75,,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
B_margin,3.0,,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
B_margin,3.25,,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
B_margin,3.5,,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
B_margin,3.75,,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
B_margin,4.0,,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
B_margin,4.25,,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
B_margin,4.5,,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
B_margin,4.75,,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
B_margin,5.0,,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
B_margin,5.25,,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
B_margin,5.5,,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
B_margin,5.75,,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
B_margin,6.0,,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
C_entropy,0.0,,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
C_entropy,0.05,,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
C_entropy,0.1,,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
C_entropy,0.15,,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
C_entropy,0.2,,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
C_entropy,0.25,,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
C_entropy,0.3,,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
C_entropy,0.35,,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
C_entropy,0.4,,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
C_entropy,0.45,,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
C_entropy,0.5,,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
C_entropy,0.55,,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
C_entropy,0.6,,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
C_entropy,0.65,,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
C_entropy,0.7,,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
C_entropy,0.75,,0.000,0,0,0.000,1.000,0.000,0.022,0,0.000
C_entropy,0.8,,0.000,0,0,0.000,1.000,0.000,0.044,0,0.000
C_entropy,0.85,,0.000,0,0,0.000,1.000,0.000,0.089,0,0.000
C_entropy,0.9,,0.000,0,0,0.000,1.000,0.000,0.111,0,0.000
C_entropy,0.95,,0.000,0,0,0.000,1.000,0.000,0.111,0,0.000
C_entropy,1.0,,0.000,0,0,0.000,1.000,0.000,0.111,0,0.000
C_entropy,1.05,,0.000,0,0,0.000,1.000,0.000,0.111,0,0.000
C_entropy,1.1,,0.022,0,0,1.000,1.000,0.043,0.111,0,0.022
C_entropy,1.15,,0.022,0,0,1.000,1.000,0.043,0.111,0,0.022
C_entropy,1.2,,0.022,0,0,1.000,1.000,0.043,0.111,0,0.022
C_entropy,1.25,,0.022,1,0,0.500,0.998,0.043,0.111,0,0.022
C_entropy,1.3,,0.022,1,0,0.500,0.998,0.043,0.111,0,0.022
C_entropy,1.35,,0.022,2,0,0.333,0.996,0.042,0.111,0,0.022
C_entropy,1.4,,0.044,2,0,0.500,0.996,0.082,0.111,0,0.022
C_entropy,1.45,,0.044,2,0,0.500,0.996,0.082,0.133,0,0.044
C_entropy,1.5,,0.044,2,0,0.500,0.996,0.082,0.156,0,0.044
C_entropy,1.55,,0.089,3,1,0.571,0.993,0.154,0.267,0,0.089
C_entropy,1.6,,0.200,10,8,0.474,0.978,0.281,0.333,1,0.222
C_entropy,1.65,,0.222,29,21,0.256,0.936,0.238,0.578,4,0.244
C_entropy,1.7,,0.267,54,41,0.182,0.881,0.216,0.733,4,0.311
C_entropy,1.75,,0.333,63,47,0.192,0.862,0.244,0.800,5,0.333
C_entropy,1.8,,0.378,72,54,0.191,0.842,0.254,0.956,8,0.378
C_entropy,1.85,,0.533,89,65,0.212,0.804,0.304,0.978,18,0.444
C_entropy,1.9,,0.644,102,73,0.221,0.776,0.330,0.978,22,0.600
C_entropy,1.95,,0.689,104,74,0.230,0.771,0.344,0.978,24,0.622
C_entropy,2.0,,0.689,104,74,0.230,0.771,0.344,0.978,24,0.622
D_pfall+entropy,0.0,0.0,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
D_pfall+entropy,0.0,0.1,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
D_pfall+entropy,0.0,0.2,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
D_pfall+entropy,0.0,0.3,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
D_pfall+entropy,0.0,0.4,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
D_pfall+entropy,0.0,0.5,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
D_pfall+entropy,0.0,0.6,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
D_pfall+entropy,0.0,0.7,0.000,0,0,0.000,1.000,0.000,0.000,0,0.000
D_pfall+entropy,0.0,0.8,0.000,0,0,0.000,1.000,0.000,0.044,0,0.000
D_pfall+entropy,0.0,0.9,0.000,0,0,0.000,1.000,0.000,0.111,0,0.000
D_pfall+entropy,0.0,1.0,0.000,0,0,0.000,1.000,0.000,0.111,0,0.000
D_pfall+entropy,0.0,1.1,0.022,0,0,1.000,1.000,0.043,0.111,0,0.022
D_pfall+entropy,0.0,1.2,0.022,0,0,1.000,1.000,0.043,0.111,0,0.022
D_pfall+entropy,0.0,1.3,0.022,1,0,0.500,0.998,0.043,0.111,0,0.022
D_pfall+entropy,0.0,1.4,0.044,2,0,0.500,0.996,0.082,0.111,0,0.022
D_pfall+entropy,0.0,1.5,0.044,2,0,0.500,0.996,0.082,0.156,0,0.044
D_pfall+entropy,0.0,1.6,0.200,10,8,0.474,0.978,0.281,0.333,1,0.222
D_pfall+entropy,0.0,1.7,0.267,54,41,0.182,0.881,0.216,0.733,4,0.311
