epoch,train_pgd_ce_loss,train_rank_loss,train_total_loss,n_batches,n_rank_active_batches,rank_active_fraction,val_clean_accuracy,val_clean_macro_f1,val_clean_fall_recall,val_pgd_recall_at_cap017,val_pgd_far_at_cap017,val_pgd_tp_at_cap017,clean_guard_pass
1,1.611951,0.111577,1.723528,62,62,1.0000,0.709677,0.705044,0.909091,0.772727,0.163717,34,True
2,1.537058,0.100574,1.637632,62,62,1.0000,0.711694,0.714434,0.863636,0.795455,0.154867,35,False
3,1.497909,0.095439,1.593348,62,62,1.0000,0.683468,0.684781,0.772727,0.772727,0.168142,34,False
4,1.479917,0.095132,1.575049,62,61,0.9839,0.697581,0.695585,0.863636,0.727273,0.168142,32,False
5,1.461121,0.100580,1.561701,62,61,0.9839,0.681452,0.683295,0.590909,0.772727,0.168142,34,False
6,1.456896,0.094523,1.551420,62,62,1.0000,0.691532,0.693632,0.636364,0.727273,0.161504,32,False
7,1.436848,0.098001,1.534848,62,62,1.0000,0.665323,0.673226,0.659091,0.750000,0.168142,33,False
8,1.425276,0.094496,1.519772,62,62,1.0000,0.677419,0.679996,0.613636,0.772727,0.168142,34,False
9,1.417980,0.093233,1.511214,62,61,0.9839,0.663306,0.662469,0.500000,0.772727,0.157080,34,False
10,1.412176,0.090848,1.503024,62,62,1.0000,0.683468,0.685222,0.727273,0.750000,0.165929,33,False
11,1.402957,0.090874,1.493831,62,62,1.0000,0.675403,0.679166,0.568182,0.772727,0.168142,34,False
12,1.398346,0.092007,1.490354,62,61,0.9839,0.669355,0.669312,0.522727,0.795455,0.168142,35,False
13,1.388326,0.090420,1.478746,62,62,1.0000,0.667339,0.670651,0.659091,0.681818,0.168142,30,False
14,1.384502,0.089030,1.473532,62,62,1.0000,0.679435,0.684562,0.750000,0.772727,0.163717,34,False
15,1.378102,0.091728,1.469830,62,62,1.0000,0.683468,0.687434,0.636364,0.772727,0.165929,34,False
16,1.374362,0.088269,1.462632,62,62,1.0000,0.657258,0.667227,0.590909,0.772727,0.165929,34,False
17,1.364165,0.086204,1.450369,62,61,0.9839,0.687500,0.689443,0.590909,0.795455,0.168142,35,False
18,1.358665,0.087617,1.446282,62,62,1.0000,0.683468,0.684556,0.636364,0.727273,0.159292,32,False
19,1.353669,0.086817,1.440486,62,62,1.0000,0.665323,0.680563,0.681818,0.795455,0.165929,35,False
20,1.347426,0.089480,1.436906,62,62,1.0000,0.685484,0.685269,0.636364,0.772727,0.168142,34,False
21,1.343481,0.083763,1.427244,62,62,1.0000,0.687500,0.675759,0.568182,0.909091,0.165929,40,False
22,1.339477,0.085825,1.425302,62,62,1.0000,0.705645,0.709177,0.636364,0.795455,0.165929,35,False
23,1.333962,0.087720,1.421682,62,62,1.0000,0.673387,0.682542,0.568182,0.750000,0.163717,33,False
24,1.328814,0.082710,1.411525,62,62,1.0000,0.677419,0.675420,0.568182,0.840909,0.168142,37,False
25,1.325150,0.087185,1.412335,62,62,1.0000,0.685484,0.693325,0.636364,0.795455,0.168142,35,False
26,1.322853,0.087947,1.410800,62,62,1.0000,0.669355,0.672801,0.568182,0.727273,0.157080,32,False
27,1.315372,0.085083,1.400455,62,62,1.0000,0.689516,0.694923,0.613636,0.772727,0.157080,34,False
28,1.315706,0.085344,1.401050,62,62,1.0000,0.695565,0.695912,0.636364,0.795455,0.168142,35,False
29,1.311940,0.086044,1.397984,62,62,1.0000,0.705645,0.700781,0.568182,0.772727,0.168142,34,False
30,1.311410,0.085015,1.396425,62,62,1.0000,0.679435,0.682170,0.681818,0.818182,0.163717,36,False
31,1.303050,0.085590,1.388640,62,62,1.0000,0.699597,0.696100,0.613636,0.863636,0.165929,38,False
32,1.301227,0.085802,1.387029,62,62,1.0000,0.699597,0.696278,0.681818,0.772727,0.152655,34,False
33,1.297188,0.083504,1.380692,62,62,1.0000,0.703629,0.705561,0.681818,0.818182,0.154867,36,False
34,1.293452,0.087475,1.380927,62,62,1.0000,0.709677,0.708159,0.613636,0.818182,0.161504,36,False
35,1.288690,0.083983,1.372673,62,62,1.0000,0.703629,0.702954,0.681818,0.795455,0.154867,35,False
36,1.285848,0.082635,1.368483,62,62,1.0000,0.711694,0.706184,0.659091,0.840909,0.168142,37,False
37,1.284435,0.073902,1.358338,62,61,0.9839,0.717742,0.710807,0.681818,0.818182,0.168142,36,False
38,1.279434,0.082241,1.361675,62,62,1.0000,0.719758,0.718935,0.681818,0.795455,0.154867,35,False
39,1.277646,0.078237,1.355882,62,61,0.9839,0.711694,0.704671,0.704545,0.818182,0.161504,36,False
40,1.272818,0.083339,1.356157,62,62,1.0000,0.715726,0.715613,0.704545,0.840909,0.163717,37,False
