variant,variant_label,seed,checkpoint,epsilon,val_pgd_auroc,val_pgd_pauroc_far020,val_pgd_fall_score_median,val_pgd_nonfall_score_median,val_pgd_fall_score_mean,val_pgd_nonfall_score_mean,val_pgd_median_gap,val_pgd_cohens_d,val_pgd_argmax_acc7,val_pgd_argmax_fall_recall,val_pgd_argmax_false_fall_alarms,val_pgd_argmax_far,val_pgd_argmax_TP,val_pgd_argmax_FN,val_pgd_argmax_FP,val_pgd_argmax_TN,test_pgd_auroc,test_pgd_pauroc_far020,test_pgd_fall_score_median,test_pgd_nonfall_score_median,test_pgd_fall_score_mean,test_pgd_nonfall_score_mean,test_pgd_median_gap,test_pgd_cohens_d,test_pgd_argmax_acc7,test_pgd_argmax_fall_recall,test_pgd_argmax_false_fall_alarms,test_pgd_argmax_far,test_pgd_argmax_TP,test_pgd_argmax_FN,test_pgd_argmax_FP,test_pgd_argmax_TN,val_clean_auroc,val_clean_pauroc_far020,val_clean_fall_score_median,val_clean_nonfall_score_median,val_clean_fall_score_mean,val_clean_nonfall_score_mean,val_clean_median_gap,val_clean_cohens_d,val_clean_argmax_acc7,val_clean_argmax_fall_recall,val_clean_argmax_false_fall_alarms,val_clean_argmax_far,val_clean_argmax_TP,val_clean_argmax_FN,val_clean_argmax_FP,val_clean_argmax_TN,test_clean_auroc,test_clean_pauroc_far020,test_clean_fall_score_median,test_clean_nonfall_score_median,test_clean_fall_score_mean,test_clean_nonfall_score_mean,test_clean_median_gap,test_clean_cohens_d,test_clean_argmax_acc7,test_clean_argmax_fall_recall,test_clean_argmax_false_fall_alarms,test_clean_argmax_far,test_clean_argmax_TP,test_clean_argmax_FN,test_clean_argmax_FP,test_clean_argmax_TN,threshold_feasible,tau_frozen,val_sel_TP,val_sel_FN,val_sel_FP,val_sel_TN,val_sel_recall,val_sel_FAR,test_TP,test_FN,test_FP,test_TN,test_recall,test_FAR,test_precision,test_F1,test_clean_recall_at_tau,test_clean_FAR_at_tau,val_clean_recall_at_tau,val_clean_FAR_at_tau,test_pgd_recall_gain_from_threshold,test_pgd_far_change_from_threshold,val_pgd_recall_gain_from_threshold,test_fp_sources
V10,FLOOR ONLY,43,maxscore,0.015000,0.959523,0.813103,0.333624,0.008292,0.353510,0.060288,0.325332,2.391348,0.504032,0.886364,41,0.090708,39,5,41,411,0.950916,0.779243,0.333123,0.012017,0.342924,0.065399,0.321106,2.458463,0.484000,0.866667,48,0.105495,39,6,48,407,0.991452,0.957261,0.378914,0.006403,0.429413,0.044192,0.372510,3.019832,0.723790,0.977273,17,0.037611,43,1,17,435,0.990672,0.957998,0.373770,0.008476,0.412956,0.048409,0.365294,3.029817,0.698000,0.955556,24,0.052747,43,2,24,431,True,0.194467,40,4,52,400,0.909091,0.115044,41,4,62,393,0.911111,0.136264,0.398058,0.554054,0.955556,0.085714,0.977273,0.061947,0.044444,0.030769,0.022727,run=25;walk=14;stand up=11;pickup=8;sit down=3;lie down=1
V10,FLOOR ONLY,43,maxscore,0.030000,0.870977,0.422918,0.270587,0.006939,0.258630,0.071991,0.263648,1.571889,0.254032,0.636364,65,0.143805,28,16,65,387,0.846642,0.322344,0.258858,0.011340,0.240517,0.078799,0.247518,1.494186,0.266000,0.555556,68,0.149451,25,20,68,387,0.991452,0.957261,0.378914,0.006403,0.429413,0.044192,0.372510,3.019832,0.723790,0.977273,17,0.037611,43,1,17,435,0.990672,0.957998,0.373770,0.008476,0.412956,0.048409,0.365294,3.029817,0.698000,0.955556,24,0.052747,43,2,24,431,True,0.268456,23,21,47,405,0.522727,0.103982,19,26,58,397,0.422222,0.127473,0.246753,0.311475,0.955556,0.046154,0.886364,0.033186,-0.133333,-0.021978,-0.113636,run=28;walk=15;stand up=7;pickup=5;lie down=3
V01,ADAPTIVE ONLY,42,last,0.015000,0.916231,0.627011,0.301209,0.043862,0.313835,0.088408,0.257347,1.908461,0.483871,0.886364,76,0.168142,39,5,76,376,0.911844,0.607570,0.300465,0.050164,0.310314,0.094719,0.250301,1.987600,0.452000,0.933333,93,0.204396,42,3,93,362,0.977424,0.887772,0.319625,0.028434,0.365826,0.070522,0.291192,2.472049,0.614919,0.954545,43,0.095133,42,2,43,409,0.979829,0.916239,0.321520,0.035241,0.357238,0.076618,0.286279,2.521982,0.594000,0.955556,52,0.114286,43,2,52,403,True,0.249819,32,12,54,398,0.727273,0.119469,35,10,68,387,0.777778,0.149451,0.339806,0.472973,0.955556,0.094505,0.886364,0.066372,-0.155556,-0.054945,-0.159091,run=29;walk=15;pickup=11;stand up=9;lie down=2;sit down=2
V01,ADAPTIVE ONLY,42,last,0.030000,0.827082,0.340507,0.267481,0.049480,0.256505,0.101914,0.218001,1.317618,0.314516,0.704545,99,0.219027,31,13,99,353,0.805861,0.238339,0.263173,0.060136,0.251262,0.108411,0.203037,1.328553,0.306000,0.711111,111,0.243956,32,13,111,344,0.977424,0.887772,0.319625,0.028434,0.365826,0.070522,0.291192,2.472049,0.614919,0.954545,43,0.095133,42,2,43,409,0.979829,0.916239,0.321520,0.035241,0.357238,0.076618,0.286279,2.521982,0.594000,0.955556,52,0.114286,43,2,52,403,True,0.285408,18,26,48,404,0.409091,0.106195,17,28,62,393,0.377778,0.136264,0.215190,0.274194,0.866667,0.039560,0.795455,0.026549,-0.333333,-0.107692,-0.295455,run=30;walk=15;pickup=9;lie down=4;stand up=3;sit down=1
V01,ADAPTIVE ONLY,43,last,0.015000,0.923069,0.694137,0.231313,0.011110,0.212612,0.046712,0.220203,2.104244,0.485887,0.727273,30,0.066372,32,12,30,422,0.909597,0.596093,0.217356,0.012494,0.203583,0.052097,0.204862,2.024166,0.464000,0.666667,37,0.081319,30,15,37,418,0.973049,0.888677,0.262378,0.007811,0.263250,0.037584,0.254567,2.984741,0.689516,0.886364,17,0.037611,39,5,17,435,0.971526,0.859096,0.257616,0.008922,0.253581,0.042545,0.248694,2.984258,0.664000,0.866667,24,0.052747,39,6,24,431,True,0.153781,36,8,50,402,0.818182,0.110619,34,11,62,393,0.755556,0.136264,0.354167,0.482270,0.888889,0.098901,0.909091,0.066372,0.088889,0.054945,0.090909,run=21;walk=15;stand up=11;lie down=7;pickup=6;sit down=2
V01,ADAPTIVE ONLY,43,last,0.030000,0.845183,0.418644,0.167743,0.008834,0.159290,0.049914,0.158910,1.343182,0.235887,0.363636,40,0.088496,16,28,40,412,0.821001,0.278388,0.142906,0.011316,0.149917,0.056157,0.131590,1.215452,0.236000,0.288889,52,0.114286,13,32,52,403,0.973049,0.888677,0.262378,0.007811,0.263250,0.037584,0.254567,2.984741,0.689516,0.886364,17,0.037611,39,5,17,435,0.971526,0.859096,0.257616,0.008922,0.253581,0.042545,0.248694,2.984258,0.664000,0.866667,24,0.052747,39,6,24,431,True,0.166928,23,21,49,403,0.522727,0.108407,17,28,66,389,0.377778,0.145055,0.204819,0.265625,0.888889,0.083516,0.909091,0.061947,0.088889,0.030769,0.159091,run=25;walk=15;stand up=10;pickup=7;lie down=6;sit down=3
V11,FLOOR+ADAPTIVE (=Option B),42,last,0.015000,0.943282,0.750000,0.351175,0.026124,0.375753,0.085046,0.325051,2.256597,0.493952,0.909091,59,0.130531,40,4,59,393,0.940904,0.729426,0.325673,0.028337,0.372696,0.087711,0.297336,2.294332,0.484000,0.911111,65,0.142857,41,4,65,390,0.987279,0.936394,0.391705,0.016370,0.452646,0.062754,0.375335,2.976737,0.691532,0.977273,31,0.068584,43,1,31,421,0.989988,0.952625,0.394358,0.016782,0.447545,0.066221,0.377576,3.038890,0.700000,0.977778,30,0.065934,44,1,30,425,True,0.251890,38,6,53,399,0.863636,0.117257,40,5,58,397,0.888889,0.127473,0.408163,0.559441,0.977778,0.081319,0.931818,0.066372,-0.022222,-0.015385,-0.045455,run=24;walk=13;pickup=9;stand up=9;sit down=2;lie down=1
V11,FLOOR+ADAPTIVE (=Option B),42,last,0.030000,0.847395,0.377162,0.286122,0.032546,0.289553,0.101822,0.253576,1.481784,0.245968,0.772727,88,0.194690,34,10,88,364,0.838681,0.318193,0.279991,0.029680,0.289976,0.105158,0.250311,1.481874,0.258000,0.777778,102,0.224176,35,10,102,353,0.987279,0.936394,0.391705,0.016370,0.452646,0.062754,0.375335,2.976737,0.691532,0.977273,31,0.068584,43,1,31,421,0.989988,0.952625,0.394358,0.016782,0.447545,0.066221,0.377576,3.038890,0.700000,0.977778,30,0.065934,44,1,30,425,True,0.291126,21,23,53,399,0.477273,0.117257,19,26,65,390,0.422222,0.142857,0.226190,0.294574,0.955556,0.037363,0.931818,0.022124,-0.355556,-0.081319,-0.295455,run=31;walk=19;pickup=8;stand up=5;lie down=2
V11,FLOOR+ADAPTIVE (=Option B),42,maxscore,0.015000,0.956808,0.790728,0.310577,0.008758,0.342096,0.059613,0.301819,2.312074,0.447581,0.840909,41,0.090708,37,7,41,411,0.945788,0.765568,0.293620,0.013941,0.328349,0.064733,0.279679,2.236800,0.494000,0.888889,43,0.094505,40,5,43,412,0.991452,0.957261,0.352660,0.006212,0.416506,0.044386,0.346448,2.957197,0.713710,0.954545,16,0.035398,42,2,16,436,0.987253,0.947009,0.337290,0.010416,0.399242,0.048517,0.326874,2.824374,0.696000,0.955556,23,0.050549,43,2,23,432,True,0.184083,39,5,53,399,0.886364,0.117257,43,2,67,388,0.955556,0.147253,0.390909,0.554839,0.955556,0.092308,1.000000,0.066372,0.066667,0.052747,0.045455,run=27;walk=17;stand up=10;pickup=8;lie down=3;sit down=2
V11,FLOOR+ADAPTIVE (=Option B),42,maxscore,0.030000,0.874296,0.450674,0.253529,0.008432,0.253502,0.072897,0.245097,1.554154,0.233871,0.659091,61,0.134956,29,15,61,391,0.850501,0.374603,0.237836,0.017676,0.242548,0.078187,0.220160,1.474308,0.262000,0.511111,69,0.151648,23,22,69,386,0.991452,0.957261,0.352660,0.006212,0.416506,0.044386,0.346448,2.957197,0.713710,0.954545,16,0.035398,42,2,16,436,0.987253,0.947009,0.337290,0.010416,0.399242,0.048517,0.326874,2.824374,0.696000,0.955556,23,0.050549,43,2,23,432,True,0.240897,26,18,51,401,0.590909,0.112832,21,24,60,395,0.466667,0.131868,0.259259,0.333333,0.955556,0.048352,0.931818,0.035398,-0.044444,-0.019780,-0.068182,run=29;walk=16;pickup=7;stand up=7;lie down=1
V11,FLOOR+ADAPTIVE (=Option B),43,last,0.015000,0.947204,0.773029,0.231073,0.002961,0.225251,0.034512,0.228112,2.129162,0.489919,0.613636,12,0.026549,27,17,12,440,0.935678,0.703297,0.191053,0.004180,0.210033,0.037696,0.186873,2.061650,0.482000,0.488889,12,0.026374,22,23,12,443,0.985368,0.927494,0.305522,0.002437,0.324239,0.027704,0.303085,2.654457,0.747984,0.840909,5,0.011062,37,7,5,447,0.983687,0.923321,0.282483,0.003158,0.294287,0.031560,0.279325,2.651371,0.720000,0.866667,11,0.024176,39,6,11,444,True,0.107427,39,5,54,398,0.886364,0.119469,41,4,68,387,0.911111,0.149451,0.376147,0.532468,0.955556,0.112088,0.954545,0.088496,0.422222,0.123077,0.272727,run=29;walk=18;stand up=10;pickup=5;lie down=3;sit down=3
V11,FLOOR+ADAPTIVE (=Option B),43,last,0.030000,0.871179,0.462691,0.147673,0.001974,0.142656,0.037686,0.145699,1.339186,0.225806,0.181818,20,0.044248,8,36,20,432,0.859145,0.366789,0.125413,0.003253,0.137292,0.040669,0.122160,1.338943,0.184000,0.155556,23,0.050549,7,38,23,432,0.985368,0.927494,0.305522,0.002437,0.324239,0.027704,0.303085,2.654457,0.747984,0.840909,5,0.011062,37,7,5,447,0.983687,0.923321,0.282483,0.003158,0.294287,0.031560,0.279325,2.651371,0.720000,0.866667,11,0.024176,39,6,11,444,True,0.123729,26,18,54,398,0.590909,0.119469,24,21,59,396,0.533333,0.129670,0.289157,0.375000,0.955556,0.098901,0.954545,0.066372,0.377778,0.079121,0.409091,run=26;walk=18;stand up=9;pickup=5;lie down=1
V11,FLOOR+ADAPTIVE (=Option B),43,maxscore,0.015000,0.950322,0.763727,0.299515,0.015037,0.313198,0.061879,0.284479,2.260132,0.479839,0.818182,40,0.088496,36,8,40,412,0.929719,0.680098,0.291140,0.018585,0.291975,0.066233,0.272555,2.136116,0.462000,0.844444,47,0.103297,38,7,47,408,0.989793,0.948964,0.328907,0.010193,0.383741,0.046875,0.318713,2.751935,0.711694,0.931818,19,0.042035,41,3,19,433,0.986129,0.937241,0.317878,0.013138,0.358173,0.051731,0.304740,2.641082,0.716000,0.955556,31,0.068132,43,2,31,424,True,0.222594,36,8,36,416,0.818182,0.079646,36,9,49,406,0.800000,0.107692,0.423529,0.553846,0.933333,0.070330,0.931818,0.046460,-0.044444,0.004396,0.000000,run=19;stand up=10;walk=10;pickup=7;sit down=2;lie down=1
V11,FLOOR+ADAPTIVE (=Option B),43,maxscore,0.030000,0.875704,0.468323,0.255446,0.014370,0.236157,0.070056,0.241076,1.551435,0.225806,0.590909,56,0.123894,26,18,56,396,0.843956,0.323077,0.216901,0.019283,0.220314,0.074790,0.197618,1.427184,0.200000,0.555556,77,0.169231,25,20,77,378,0.989793,0.948964,0.328907,0.010193,0.383741,0.046875,0.318713,2.751935,0.711694,0.931818,19,0.042035,41,3,19,433,0.986129,0.937241,0.317878,0.013138,0.358173,0.051731,0.304740,2.641082,0.716000,0.955556,31,0.068132,43,2,31,424,True,0.229787,25,19,48,404,0.568182,0.106195,20,25,64,391,0.444444,0.140659,0.238095,0.310078,0.911111,0.068132,0.909091,0.037611,-0.111111,-0.028571,-0.022727,run=29;walk=16;stand up=10;pickup=7;lie down=2
