epoch,lambda_b_current,lambda_b_next,far_val_pgd10,n_val_nonfall,val_pgd_false_fall_alarms,val_pgd_fall_recall,val_fgsm_fall_recall,val_fgsm_false_fall_alarms,val_clean_accuracy,val_clean_macro_f1,val_clean_fall_recall,val_normalized_false_alarm_burden,train_loss,mean_base,mean_src_motion,mean_fall_margin,mean_targeted,mean_nonfall_budget,mean_fall_rescue,fall_selected_count,nonfall_selected_count,fall_k_abs_floor_active_frac,budget_to_rescue_loss_ratio,clean_guard_eligible,selection_score,sel_maxscore
25,0.041858,0.045796,0.139381,452,63,0.204545,0.272727,41,0.520161,0.473024,0.863636,0.115044,3.329680,1.638950,0.338816,0.456648,0.382918,1.016380,0.469805,2.564516,7.693548,0.951613,2.163411,0,-0.385381,0
26,0.045796,0.045973,0.101770,452,46,0.159091,0.181818,24,0.528226,0.459328,0.704545,0.077434,3.217687,1.600605,0.397003,0.341115,0.469089,1.187787,0.355480,2.596774,7.677419,0.919355,3.341364,0,-0.582446,0
27,0.045973,0.043053,0.070796,452,32,0.022727,0.068182,15,0.449597,0.376815,0.568182,0.051991,2.997182,1.568601,0.380593,0.268874,0.443022,1.168782,0.282360,2.629032,7.677419,0.951613,4.139333,0,-1.141716,0
28,0.043053,0.049867,0.168142,452,76,0.431818,0.500000,47,0.518145,0.451987,0.795455,0.136062,3.205259,1.572518,0.384615,0.359512,0.458138,1.190692,0.379212,2.774194,7.612903,0.967742,3.139909,0,-0.413549,0
29,0.049867,0.063097,0.232301,452,105,0.568182,0.659091,80,0.510081,0.406757,0.977273,0.204646,2.907796,1.531508,0.350558,0.280000,0.400811,1.100472,0.290042,2.500000,7.677419,0.983871,3.794180,0,-0.340860,0
30,0.063097,0.080752,0.276549,452,125,0.590909,0.659091,103,0.544355,0.463641,0.977273,0.252212,2.707373,1.441498,0.347510,0.223677,0.384996,1.175678,0.235510,2.758065,7.645161,0.903226,4.992054,0,-0.426576,0
31,0.080752,0.086460,0.157080,452,71,0.340909,0.500000,49,0.552419,0.460196,0.931818,0.132743,2.834931,1.443714,0.328082,0.284404,0.390776,1.095000,0.299531,2.629032,7.612903,0.935484,3.655710,0,-0.182571,0
32,0.086460,0.085088,0.086283,452,39,0.181818,0.227273,20,0.576613,0.518909,0.840909,0.065265,2.792875,1.419009,0.305839,0.293332,0.376553,1.021218,0.309847,2.645161,7.677419,0.967742,3.295874,0,-0.183138,0
33,0.085088,0.094336,0.192478,452,87,0.477273,0.568182,62,0.532258,0.450820,0.931818,0.164823,2.627251,1.376188,0.311076,0.228802,0.371635,1.121510,0.244123,2.548387,7.645161,0.967742,4.594030,0,-0.228123,0
34,0.094336,0.108451,0.241150,452,109,0.568182,0.772727,81,0.516129,0.456189,0.977273,0.210177,2.889842,1.422776,0.319835,0.317677,0.391691,1.051366,0.338681,2.548387,7.677419,0.935484,3.104301,0,-0.364162,0
35,0.108451,0.117035,0.185841,452,84,0.454545,0.590909,63,0.576613,0.507439,0.977273,0.162611,2.807631,1.406126,0.334391,0.263924,0.394820,1.129639,0.285860,2.661290,7.629032,0.919355,3.951715,0,-0.135592,0
36,0.117035,0.115000,0.079646,452,36,0.068182,0.159091,21,0.614919,0.579682,0.750000,0.063053,2.446645,1.301617,0.288358,0.191310,0.341439,1.011567,0.205531,2.903226,7.580645,0.983871,4.921715,0,-0.401979,0
37,0.115000,0.114292,0.092920,452,42,0.204545,0.340909,24,0.612903,0.564623,0.840909,0.073009,2.728598,1.348056,0.291570,0.305815,0.349637,0.989875,0.319684,2.548387,7.677419,0.983871,3.096419,0,-0.087830,0
38,0.114292,0.125531,0.212389,452,96,0.590909,0.704545,72,0.590726,0.545432,0.977273,0.185841,2.474084,1.295181,0.274155,0.220840,0.322495,0.970828,0.250456,2.467742,7.677419,0.951613,3.876250,0,-0.077197,0
