path,kind,sha256,size_bytes,generator_script,link_method,evidence_level,evidence_provenance,split,claim_boundary,overleaf_ready,overleaf_blockers,committed
results/cross_architecture/bilstm/bilstm_seed46_pgd_safety_metrics_test_epsilon_0_03.csv,csv,ad352b4afa0c3b6e27027be2e49b8c7ddb10252b38f7243c689d38b21dac666c,477,unknown,none,test-descriptive,path:convention,test,thesis-safe,no,not-a-figure-or-table-float,yes
results/cross_architecture/bilstm/bilstm_seed46_pgd_sweep_predictions_legacy.csv,predictions,a7605e22b0daa300dd51b3a7f9d0c627445dfd235d17431bf833e67ee0e275e4,1439081,unknown,none,test-descriptive,path:convention,test,thesis-safe,no,not-a-figure-or-table-float,yes
results/cross_architecture/bilstm/bilstm_seed46_pgd_sweep_predictions_test.csv,predictions,ffda9164919a8a4e26cbf71e9b086015a818b13542ae3437024f47d79f5f59cb,721524,unknown,none,test-descriptive,path:convention,test,thesis-safe,no,not-a-figure-or-table-float,yes
results/cross_architecture/bilstm/bilstm_seed46_summary_metrics.csv,csv,5dc153f8b31019fb364dcf024258252b0db5dbd84a29d911c7360b5127c2ae91,430,unknown,none,test-descriptive,path:convention,test,thesis-safe,no,not-a-figure-or-table-float,yes
results/cross_architecture/bilstm/bilstm_seed46_sweep_metadata.json,metadata,6a40e644122edee6c1546f690fd8ccc484b2576d75c9f521e00a9873b9af3d55,3632,unknown,none,test-descriptive,path:convention,test,thesis-safe,no,not-a-figure-or-table-float,yes
results/cross_architecture/bilstm/bilstm_seed46_test_predictions.csv,csv,41b95bf14a6053b7c215c76792c8d7ad94509eb0a8d6fdc97eaeddb0b5476e16,18049,unknown,none,test-descriptive,path:convention,test,thesis-safe,no,not-a-figure-or-table-float,yes
results/cross_architecture/bilstm/bilstm_seed46_training_curve.csv,csv,9ceb68c7c089f3dbb271cd71ef159630489ce545ef55d489f15a09e78ee880dc,8110,unknown,none,test-descriptive,path:convention,test,thesis-safe,no,not-a-figure-or-table-float,yes
results/cross_architecture/bilstm/bilstm_seed_convergence_status.csv,csv,447ef05576481fe0bd7446592ba1ac84f75e52878b3a90e93a63695f3cd9f659,1386,unknown,none,test-descriptive,path:convention,test,thesis-safe,no,not-a-figure-or-table-float,yes
results/cross_architecture/bilstm/figures/bilstm_clean_qualified_fall_recall_clean_vs_fgsm_vs_pgd.png,figure,f594bb2af0f8dc00814d1419ea6f387429bf38f9d86d0ce5a87a34ab0197d7b0,82180,unknown,none,test-descriptive,path:convention,test,thesis-safe,no,generator-unknown,yes
results/cross_architecture/cross_architecture_multiseed_summary.csv,csv,250cede1b84c13f4da7b4f2793f31ab9fadae7420411162cad064aa41ac64e30,2254,scripts/reconstruct_ch04_cross_arch_resnet_artifacts.py,literal,test-descriptive,path:convention,test,thesis-safe,no,not-a-figure-or-table-float,yes
results/cross_architecture/cross_architecture_seed42_pilot_summary.csv,csv,57ee5a53e1b3bbf72152fb5ae82cb39e2aa96ae1ff85776bac82149603d64a89,3531,scripts/reconstruct_ch04_cross_arch_resnet_artifacts.py,literal,test-descriptive,path:convention,test,thesis-safe,no,not-a-figure-or-table-float,yes
results/cross_architecture/cross_architecture_seed42_pilot_thresholds.csv,csv,2ad192990546a5326cb07e3a0eecfa4eef98b0e10a1177c164c36fd3c9e022db,1403,scripts/reconstruct_ch04_cross_arch_resnet_artifacts.py,literal,test-descriptive,path:convention,test,thesis-safe,no,not-a-figure-or-table-float,yes
results/cross_architecture/figures/cross_architecture_seed42_fall_recall_vs_epsilon.png,figure,561656923916965618cd0bc3fce1d98ecb997bc3a2c17b78a65fa4b892aff87e,122644,scripts/reconstruct_ch04_cross_arch_resnet_artifacts.py,literal,test-descriptive,path:convention,test,thesis-safe,no,generator-not-committed,yes
results/cross_architecture/figures/cross_architecture_seed42_pgd_false_alarms_at_003.png,figure,08aafad6f78936b69d8ffb0684f866fe516a582650830caef2022927d9e29773,40448,unknown,none,test-descriptive,path:convention,test,thesis-safe,no,generator-unknown,yes
results/cross_architecture/gru/figures/gru_clean_qualified_fall_recall_clean_vs_fgsm_vs_pgd.png,figure,f56ee740d8ff1273330f6e6c1a7219be60ed423f4f4cae3617d66c6ecb784a41,62439,unknown,none,test-descriptive,path:convention,test,thesis-safe,no,generator-unknown,yes
results/cross_architecture/gru/gru_clean_qualified_seedwise_metrics.csv,csv,89b92e0470d26644a1bc264dbf5f5523e5ddc49c09a6035da52d41224ecd02ec,2229,unknown,none,test-descriptive,path:convention,test,thesis-safe,no,not-a-figure-or-table-float,yes
results/cross_architecture/gru/gru_clean_qualified_summary.csv,csv,043182c1ca3543439a806481c15a2e33a82842743679cb4d0beec9a245abc70e,980,unknown,none,test-descriptive,path:convention,test,thesis-safe,no,not-a-figure-or-table-float,yes
results/cross_architecture/gru/gru_clean_qualified_thresholds.csv,csv,6d93b04a8f745110c418706949de84f0620907cf55e6ac532f5709318a8eb91d,1230,unknown,none,test-descriptive,path:convention,test,thesis-safe,no,not-a-figure-or-table-float,yes
results/cross_architecture/gru/gru_seed42_attacks_metadata.json,metadata,85f7e8fd99ac1c19174d00e2a6245f6e46b2d4878cc219161f1c7cc2b7c23a49,5548,unknown,none,test-descriptive,path:convention,test,thesis-safe,no,not-a-figure-or-table-float,yes
