path_id,path_label,attack_label,defended_label,total_true_fall_windows,clean_tp,clean_fn,attack_tp,attack_fn,defended_tp,defended_fn,clean_recall_percent,attack_recall_percent,defended_recall_percent,clean_missed_fall_rate_percent,attack_missed_fall_rate_percent,defended_missed_fall_rate_percent,clean_tp_lost_under_attack,clean_tp_lost_under_attack_percent_of_clean_tp,clean_tp_preserved_under_attack,clean_fn_recovered_by_attack,clean_fn_persisted_under_attack,attack_fn_recovered_by_defense,attack_fn_recovered_by_defense_percent_of_attack_fn,attack_fn_persisted_after_defense,attack_fn_persisted_after_defense_percent_of_attack_fn,attack_tp_lost_after_defense,attack_tp_preserved_after_defense,clean_tp_to_attack_fn_to_defended_tp,clean_tp_to_attack_fn_to_defended_fn,clean_fn_to_attack_fn_to_defended_tp,clean_fn_to_attack_fn_to_defended_fn,interpretation
fgsm_path,FGSM path,FGSM Attack,Defended FGSM,89,57,32,0,89,0,89,64.04,0.00,0.00,35.96,100.00,100.00,57,100.00,0,0,32,0,0.00,89,100.00,0,0,0,57,0,32,Attack missed true fall windows and the defended attacked condition did not recover fall-window detection for this tested configuration.
pgd_path,PGD path,PGD Attack,Defended PGD,89,57,32,0,89,0,89,64.04,0.00,0.00,35.96,100.00,100.00,57,100.00,0,0,32,0,0.00,89,100.00,0,0,0,57,0,32,Attack missed true fall windows and the defended attacked condition did not recover fall-window detection for this tested configuration.
