metric,value
total_windows,996
fall_windows,89
nonfall_windows,907
true_positive_fall_detected,57
false_positive_false_fall_alarm,32
false_negative_missed_fall,32
true_negative_nonfall_correct,875
accuracy,0.935743
recall_sensitivity,0.640449
missed_fall_rate,0.359551
specificity,0.964719
false_positive_rate,0.035281
precision,0.640449
f1_score,0.640449
balanced_accuracy,0.802584
false_alarm_count,32
missed_fall_count,32
