condition,display_condition,model_type,attack_type,epsilon,total_windows,fall_windows,non_fall_windows,TP_detected_falls,FN_missed_falls,FP_false_fall_alarms,TN_correct_non_falls,negative_predictive_value,false_omission_rate,false_discovery_rate,positive_likelihood_ratio,negative_likelihood_ratio,diagnostic_odds_ratio,matthews_correlation_coefficient,cohens_kappa,fall_window_prevalence,false_alarm_to_detected_fall_ratio,missed_fall_to_detected_fall_ratio,claim_boundary
undefended_clean,Undefended clean,undefended_baseline,none,0.000000,996,89,907,57,32,32,875,0.964719,0.035281,0.359551,18.152739,0.372700,48.706055,0.605168,0.605168,0.089357,0.561404,0.561404,"Research implementation only; window-level diagnostic-style safety-proxy metrics; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
undefended_fgsm_epsilon_0_03,Undefended FGSM epsilon 0.03,undefended_baseline,FGSM,0.030000,996,89,907,0,89,119,788,0.898518,0.101482,1.000000,0.000000,1.151015,0.000000,-0.115389,-0.113890,0.089357,NA,NA,"Research implementation only; window-level diagnostic-style safety-proxy metrics; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
undefended_pgd_epsilon_0_03,Undefended PGD epsilon 0.03,undefended_baseline,PGD,0.030000,996,89,907,0,89,115,792,0.898978,0.101022,1.000000,0.000000,1.145202,0.000000,-0.113175,-0.112033,0.089357,NA,NA,"Research implementation only; window-level diagnostic-style safety-proxy metrics; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
defended_clean,Defended clean,FGSM_adversarial_training_defended,none,0.000000,996,89,907,36,53,22,885,0.943497,0.056503,0.379310,16.676200,0.610309,27.324185,0.463169,0.451090,0.089357,0.611111,1.472222,"Research implementation only; window-level diagnostic-style safety-proxy metrics; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
defended_fgsm_epsilon_0_03,Defended FGSM epsilon 0.03,FGSM_adversarial_training_defended,FGSM,0.030000,996,89,907,0,89,72,835,0.903680,0.096320,1.000000,0.000000,1.086228,0.000000,-0.087442,-0.086865,0.089357,NA,NA,"Research implementation only; window-level diagnostic-style safety-proxy metrics; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
defended_pgd_epsilon_0_03,Defended PGD epsilon 0.03,FGSM_adversarial_training_defended,PGD,0.030000,996,89,907,0,89,56,851,0.905319,0.094681,1.000000,0.000000,1.065805,0.000000,-0.076458,-0.074138,0.089357,NA,NA,"Research implementation only; window-level diagnostic-style safety-proxy metrics; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
