rank_by_confidence_safety_failure_score,condition,display_condition,missed_fall_rate,missed_fall_windows,high_confidence_missed_fall_count,high_confidence_missed_fall_rate,mean_missed_fall_confidence,median_missed_fall_confidence,confidence_safety_failure_score,false_fall_alarm_count,recall_sensitivity,f1_score,balanced_accuracy,claim_boundary
1,undefended_pgd_epsilon_0_03,Undefended PGD epsilon 0.03,1.000000,89,73,0.820225,0.872827,0.953281,0.820225,115,0.000000,0.000000,0.436604,"Research implementation only; window-level confidence-safety failure ranking; the confidence-safety failure score is a descriptive product of missed fall rate and high-confidence missed-fall rate, not a clinical risk score; model confidence means predicted-class probability/confidence from the model output, not calibrated clinical confidence; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, not false alarms per hour/day, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
2,undefended_fgsm_epsilon_0_03,Undefended FGSM epsilon 0.03,1.000000,89,54,0.606742,0.775721,0.833032,0.606742,119,0.000000,0.000000,0.434399,"Research implementation only; window-level confidence-safety failure ranking; the confidence-safety failure score is a descriptive product of missed fall rate and high-confidence missed-fall rate, not a clinical risk score; model confidence means predicted-class probability/confidence from the model output, not calibrated clinical confidence; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, not false alarms per hour/day, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
3,defended_pgd_epsilon_0_03,Defended PGD epsilon 0.03,1.000000,89,12,0.134831,0.455713,0.376572,0.134831,56,0.000000,0.000000,0.469129,"Research implementation only; window-level confidence-safety failure ranking; the confidence-safety failure score is a descriptive product of missed fall rate and high-confidence missed-fall rate, not a clinical risk score; model confidence means predicted-class probability/confidence from the model output, not calibrated clinical confidence; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, not false alarms per hour/day, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
4,defended_fgsm_epsilon_0_03,Defended FGSM epsilon 0.03,1.000000,89,11,0.123596,0.439962,0.357259,0.123596,72,0.000000,0.000000,0.460309,"Research implementation only; window-level confidence-safety failure ranking; the confidence-safety failure score is a descriptive product of missed fall rate and high-confidence missed-fall rate, not a clinical risk score; model confidence means predicted-class probability/confidence from the model output, not calibrated clinical confidence; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, not false alarms per hour/day, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
5,undefended_clean,Undefended clean,0.359551,32,9,0.281250,0.663120,0.688591,0.101124,32,0.640449,0.640449,0.802584,"Research implementation only; window-level confidence-safety failure ranking; the confidence-safety failure score is a descriptive product of missed fall rate and high-confidence missed-fall rate, not a clinical risk score; model confidence means predicted-class probability/confidence from the model output, not calibrated clinical confidence; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, not false alarms per hour/day, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
6,defended_clean,Defended clean,0.595506,53,0,0.000000,0.462122,0.415679,0.000000,22,0.404494,0.489796,0.690119,"Research implementation only; window-level confidence-safety failure ranking; the confidence-safety failure score is a descriptive product of missed fall rate and high-confidence missed-fall rate, not a clinical risk score; model confidence means predicted-class probability/confidence from the model output, not calibrated clinical confidence; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, not false alarms per hour/day, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
