epoch,lambda_b_current,lambda_b_next,far_val_pgd10,n_val_nonfall,val_pgd_false_fall_alarms,val_pgd_fall_recall,val_fgsm_fall_recall,val_fgsm_false_fall_alarms,val_clean_accuracy,val_clean_macro_f1,val_clean_fall_recall,val_normalized_false_alarm_burden,train_loss,mean_base,mean_src_motion,mean_fall_margin,mean_targeted,mean_nonfall_budget,mean_fall_rescue,fall_selected_count,nonfall_selected_count,fall_k_abs_floor_active_frac,budget_to_rescue_loss_ratio,clean_guard_eligible,selection_score,sel_maxscore
1,0.250000,0.240000,0.000000,452,0,0.000000,0.000000,0,0.294355,0.064976,0.000000,0.000000,4.200617,1.982509,0.082676,1.001407,0.094364,0.130732,1.006979,1.145161,7.661290,0.000000,0.129826,0,-2.611290,0
2,0.240000,0.230000,0.000000,452,0,0.000000,0.000000,0,0.294355,0.064976,0.000000,0.000000,4.076131,1.993286,0.054732,0.970974,0.062569,0.079757,0.975428,1.080645,7.741935,0.000000,0.081766,0,-2.611290,0
3,0.230000,0.220000,0.000000,452,0,0.000000,0.000000,0,0.229839,0.078598,0.000000,0.000000,4.062401,1.995932,0.018696,1.004308,0.027334,0.032655,1.008620,1.177419,7.580645,0.000000,0.032375,0,-2.740323,0
4,0.220000,0.210000,0.000000,452,0,0.000000,0.000000,0,0.292339,0.170019,0.000000,0.000000,3.879486,1.994617,0.014674,0.919155,0.022077,0.028029,0.922797,1.000000,7.838710,0.000000,0.030374,0,-2.615323,0
5,0.210000,0.200000,0.000000,452,0,0.000000,0.000000,0,0.399194,0.198129,0.000000,0.000000,3.993113,1.996105,0.012746,0.978589,0.018235,0.024592,0.982274,1.048387,7.741935,0.000000,0.025036,0,-2.401613,0
6,0.200000,0.190000,0.000000,452,0,0.000000,0.000000,0,0.294355,0.064976,0.000000,0.000000,3.951729,1.994902,0.012282,0.959229,0.017885,0.022352,0.962961,1.096774,7.645161,0.000000,0.023211,0,-2.611290,0
7,0.190000,0.180000,0.000000,452,0,0.000000,0.000000,0,0.133065,0.033794,0.000000,0.000000,3.853505,1.994795,0.009459,0.914335,0.013613,0.019478,0.917603,1.032258,7.693548,0.000000,0.021227,0,-2.933871,0
8,0.180000,0.170000,0.000000,452,0,0.000000,0.000000,0,0.286290,0.120957,0.000000,0.000000,3.913497,1.995096,0.012972,0.940765,0.016683,0.023302,0.943786,1.129032,7.709677,0.000000,0.024690,0,-2.627419,0
9,0.170000,0.160000,0.000000,452,0,0.000000,0.000000,0,0.312500,0.113602,0.000000,0.000000,3.900707,1.994795,0.008696,0.938687,0.012512,0.020390,0.942550,1.161290,7.612903,0.000000,0.021633,0,-2.575000,0
10,0.160000,0.150000,0.000000,452,0,0.000000,0.000000,0,0.326613,0.113071,0.000000,0.000000,3.899751,1.994579,0.009565,0.937724,0.013102,0.020224,0.941547,1.096774,7.709677,0.000000,0.021480,0,-2.546774,0
11,0.150000,0.140000,0.000000,452,0,0.000000,0.000000,0,0.133065,0.033554,0.000000,0.000000,3.960544,1.995260,0.008396,0.969086,0.011867,0.019749,0.972973,1.080645,7.629032,0.000000,0.020297,0,-2.933871,0
12,0.140000,0.130000,0.000000,452,0,0.000000,0.000000,0,0.316532,0.144585,0.000000,0.000000,3.930747,1.991859,0.012827,0.951138,0.016404,0.025700,0.954921,1.161290,7.645161,0.000000,0.026913,0,-2.566935,0
13,0.130000,0.120000,0.000000,452,0,0.000000,0.000000,0,0.300403,0.150985,0.000000,0.000000,3.862334,1.994246,0.010814,0.917855,0.014870,0.022184,0.921665,1.112903,7.629032,0.000000,0.024069,0,-2.599194,0
14,0.120000,0.110000,0.000000,452,0,0.000000,0.000000,0,0.294355,0.064976,0.000000,0.000000,3.798835,1.994582,0.009947,0.887592,0.012664,0.021252,0.891500,1.016129,7.741935,0.000000,0.023839,0,-2.611290,0
