attack,undef_attacked_recall,def_attacked_recall,clean_recall,fall_recall_recovery_fraction,remaining_gap_to_clean,mfr_reduction,false_alarm_change_def_minus_undef,undef_zero_recall_eps,def_zero_recall_eps,undef_below50_eps,def_below50_eps
FGSM,0.0000,0.3111,0.9556,0.3256,0.6444,0.3111,-20,0.01,0.075,0.005,0.025
PGD,0.0000,0.0889,0.9556,0.0930,0.8667,0.0889,6,0.0075,0.035,0.005,0.0175
