attack,undef_recall,def_recall,undef_mfr,def_mfr,undef_FN,def_FN,undef_FP,def_FP,undef_tp_fn_fp_tn,def_tp_fn_fp_tn,undef_pred_change,def_pred_change,undef_high_conf_mfr,def_high_conf_mfr,undef_median_missed_conf,def_median_missed_conf
FGSM,0.0000,0.3111,1.0000,0.6889,45,31,47,27,0/45/47/408,14/31/27/428,0.9520,0.3580,1.0000,0.4000,1.0000,0.5485
PGD,0.0000,0.0889,1.0000,0.9111,45,41,48,54,0/45/48/407,4/41/54/401,0.9720,0.5920,1.0000,0.6667,1.0000,0.5934
