epoch,lambda_b_current,lambda_b_next,far_val_pgd10,n_val_nonfall,val_pgd_false_fall_alarms,val_pgd_fall_recall,val_fgsm_fall_recall,val_fgsm_false_fall_alarms,val_clean_accuracy,val_clean_macro_f1,val_clean_fall_recall,val_normalized_false_alarm_burden,train_loss,mean_base,mean_src_motion,mean_fall_margin,mean_targeted,mean_nonfall_budget,mean_fall_rescue,fall_selected_count,nonfall_selected_count,fall_k_abs_floor_active_frac,budget_to_rescue_loss_ratio,clean_guard_eligible,selection_score,sel_maxscore
1,0.250000,0.250000,0.000000,452,0,0.000000,0.000000,0,0.294355,0.064976,0.000000,0.000000,4.200617,1.982509,0.082676,1.001407,0.094364,0.130732,1.006979,1.145161,7.661290,0.000000,0.129826,0,-2.611290,0
2,0.250000,0.250000,0.000000,452,0,0.000000,0.000000,0,0.110887,0.037227,0.000000,0.000000,4.018225,1.993549,0.030063,0.970153,0.038006,0.047982,0.974459,1.080645,7.741935,0.000000,0.049240,0,-2.978226,0
3,0.250000,0.250000,0.000000,452,0,0.000000,0.000000,0,0.364919,0.133819,0.000000,0.000000,4.072440,1.994005,0.022871,1.004633,0.031539,0.039646,1.009480,1.177419,7.580645,0.000000,0.039274,0,-2.470161,0
4,0.250000,0.250000,0.000000,452,0,0.000000,0.000000,0,0.256048,0.067879,0.000000,0.000000,3.888924,1.995605,0.012934,0.924986,0.020082,0.025548,0.928930,1.000000,7.838710,0.000000,0.027502,0,-2.687903,0
5,0.250000,0.250000,0.000000,452,0,0.000000,0.000000,0,0.147177,0.054880,0.000000,0.000000,3.998496,1.995143,0.013541,0.979742,0.019411,0.027859,0.983694,1.048387,7.741935,0.000000,0.028321,0,-2.905645,0
6,0.250000,0.250000,0.000000,452,0,0.000000,0.000000,0,0.243952,0.056031,0.000000,0.000000,3.962583,1.995036,0.014031,0.961545,0.019645,0.025121,0.966047,1.096774,7.645161,0.000000,0.026004,0,-2.712097,0
7,0.250000,0.250000,0.000000,452,0,0.000000,0.000000,0,0.133065,0.033554,0.000000,0.000000,3.865758,1.994380,0.014978,0.913278,0.019281,0.026287,0.917270,1.032258,7.693548,0.000000,0.028658,0,-2.933871,0
8,0.250000,0.250000,0.000000,452,0,0.000000,0.000000,0,0.298387,0.132347,0.000000,0.000000,3.909573,1.994508,0.009125,0.941911,0.013139,0.020457,0.945775,1.129032,7.709677,0.000000,0.021630,0,-2.603226,0
9,0.250000,0.250000,0.000000,452,0,0.000000,0.000000,0,0.328629,0.121504,0.000000,0.000000,3.901824,1.995878,0.008501,0.938054,0.012707,0.019720,0.941754,1.161290,7.612903,0.000000,0.020940,0,-2.542742,0
10,0.250000,0.250000,0.000000,452,0,0.000000,0.000000,0,0.294355,0.064976,0.000000,0.000000,3.896705,1.995111,0.007416,0.937003,0.011506,0.017723,0.941239,1.096774,7.709677,0.000000,0.018829,0,-2.611290,0
11,0.250000,0.250000,0.000000,452,0,0.000000,0.000000,0,0.318548,0.124086,0.000000,0.000000,3.955986,1.995365,0.007143,0.966943,0.010830,0.017945,0.971217,1.080645,7.629032,0.000000,0.018477,0,-2.562903,0
12,0.250000,0.250000,0.000000,452,0,0.000000,0.000000,0,0.318548,0.091905,0.000000,0.000000,3.934376,1.991528,0.011567,0.951603,0.015921,0.026150,0.957220,1.161290,7.645161,0.000000,0.027319,0,-2.562903,0
