epoch,train_loss,mean_base,mean_src_motion,mean_fall_margin,mean_targeted,val_clean_accuracy,val_clean_macro_f1,val_pgd_fall_recall,val_pgd_false_fall_alarms,v2_eligible
1,3.705047,2.022705,0.281573,1.110221,0.290548,0.243952,0.056031,0.000000,0,0
2,3.303371,1.962311,0.180033,0.971858,0.189168,0.294355,0.064976,0.000000,0,0
