epoch,train_loss,train_clean_accuracy,train_adv_accuracy,val_clean_accuracy,val_clean_macro_f1,val_clean_fall_recall,val_fgsm_fall_recall,val_pgd_fall_recall,val_fgsm_false_fall_alarms,val_pgd_false_fall_alarms,val_clean_missed_fall_count,val_fgsm_missed_fall_count,val_pgd_missed_fall_count,val_normalized_false_alarm_burden,safety_score,selected_by_safety_score,selected_by_val_macro_f1
46,0.884644,50.968750,0.476310,0.808468,0.798435,0.977273,0.409091,0.159091,51,65,1,26,37,0.128319,0.441714,0,0
47,0.795738,51.781250,0.539315,0.820565,0.790112,0.977273,0.318182,0.045455,53,59,1,30,42,0.123894,0.381929,0,0
48,0.824779,51.187500,0.520161,0.808468,0.790098,0.977273,0.522727,0.227273,66,93,1,21,34,0.175885,0.479002,0,0
49,0.871907,51.375000,0.485383,0.770161,0.749768,0.977273,0.750000,0.477273,117,140,1,11,23,0.284292,0.603389,1,0
50,0.793889,51.218750,0.546875,0.848790,0.815941,0.954545,0.340909,0.090909,47,69,2,29,40,0.128319,0.396259,0,1
51,0.863200,52.093750,0.469254,0.802419,0.784684,0.954545,0.181818,0.022727,25,36,2,36,43,0.067478,0.355752,0,0
52,0.827001,52.343750,0.505040,0.834677,0.808608,0.977273,0.659091,0.363636,90,113,1,15,28,0.224558,0.549135,0,0
53,0.796969,52.343750,0.510081,0.854839,0.820750,0.954545,0.340909,0.045455,44,65,2,29,42,0.120575,0.376579,0,1
54,0.729088,52.718750,0.568044,0.832661,0.811016,0.954545,0.340909,0.113636,41,67,2,29,39,0.119469,0.407371,0,0
55,0.854496,52.406250,0.486895,0.788306,0.773707,0.931818,0.500000,0.090909,50,73,3,22,40,0.136062,0.403439,0,0
56,0.802376,52.750000,0.522681,0.816532,0.811423,0.977273,0.568182,0.159091,74,94,1,19,37,0.185841,0.451870,0,0
57,0.771986,52.937500,0.545867,0.856855,0.827411,0.954545,0.454545,0.113636,58,75,2,24,39,0.147124,0.415969,0,1
58,0.838715,52.312500,0.493448,0.800403,0.792120,0.977273,0.750000,0.363636,100,128,1,11,28,0.252212,0.555461,0,0
59,0.802349,52.687500,0.522177,0.842742,0.826355,0.977273,0.590909,0.204545,69,98,1,18,35,0.184735,0.474708,0,0
60,0.726123,53.750000,0.560988,0.870968,0.852017,0.931818,0.522727,0.136364,67,88,3,21,38,0.171460,0.422627,0,1
61,0.800028,52.875000,0.509073,0.796371,0.777699,0.977273,0.750000,0.409091,96,112,1,11,26,0.230088,0.578128,0,0
62,0.741102,53.531250,0.560988,0.840726,0.815472,0.977273,0.545455,0.227273,67,97,1,20,34,0.181416,0.480722,0,0
63,0.745268,54.125000,0.532762,0.818548,0.801225,0.977273,0.386364,0.068182,57,77,1,27,41,0.148230,0.396541,0,0
64,0.794030,52.875000,0.506048,0.844758,0.815211,0.977273,0.522727,0.204545,66,86,1,21,35,0.168142,0.469549,0,0
