metric,value
attack,fgsm
split,legacy
epsilon,0.030000
alpha,n/a
pgd_steps,n/a
n_windows,996
clean_accuracy,0.982932
clean_macro_f1,0.973788
clean_fall_recall,1.000000
attack_accuracy,0.008032
attack_macro_f1,0.006154
fall_recall,0.011236
missed_fall_rate,0.988764
fall_precision,0.013514
fall_f1,0.012270
fall_true_positive,1
fall_false_negative,88
fall_false_positive,73
fall_true_negative,834
false_fall_alarm_count,73
prediction_change_rate,0.976908
