epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_f1
1,1.099469,0.606603,12.935678,0.145161,0.100848
2,0.618108,0.775454,2.843665,0.223790,0.210916
3,0.430552,0.843246,0.787783,0.729839,0.694591
4,0.337985,0.883821,0.850163,0.772177,0.626182
5,0.243480,0.918599,0.779334,0.754032,0.675708
6,0.206048,0.927923,9.577256,0.098790,0.051924
7,0.182182,0.936744,1.046654,0.707661,0.681877
8,0.156905,0.949345,0.651363,0.810484,0.772125
9,0.154186,0.945060,1.576997,0.500000,0.515917
10,0.124385,0.959425,0.614363,0.808468,0.784054
11,0.081979,0.972530,0.734638,0.758065,0.735484
12,0.067950,0.978579,0.242108,0.935484,0.930830
13,0.075200,0.976562,0.488605,0.858871,0.850667
14,0.128543,0.959677,1.118070,0.737903,0.690642
15,0.071853,0.977319,0.432546,0.852823,0.832485
16,0.100512,0.966230,0.682075,0.802419,0.773287
17,0.080788,0.973034,0.324579,0.899194,0.869979
18,0.057776,0.981855,1.949711,0.647177,0.676975
19,0.075497,0.974294,3.553002,0.497984,0.492903
20,0.076319,0.972026,0.286239,0.927419,0.904846
21,0.084415,0.969254,0.593685,0.810484,0.795392
22,0.070181,0.974798,1.066595,0.695565,0.661764
23,0.039934,0.988407,0.305606,0.913306,0.928195
24,0.026273,0.992188,0.392404,0.885081,0.867466
25,0.032871,0.990675,0.164422,0.947581,0.938664
26,0.068005,0.977571,4.617546,0.415323,0.263929
27,0.079296,0.973538,0.584795,0.850806,0.815290
28,0.076971,0.973790,0.891905,0.768145,0.738029
29,0.046662,0.982611,0.266208,0.919355,0.913077
30,0.026270,0.991431,0.251113,0.941532,0.934423
31,0.029016,0.991683,0.511865,0.852823,0.788440
32,0.033416,0.987651,0.650520,0.854839,0.867746
33,0.033746,0.989415,0.198996,0.941532,0.926442
34,0.037570,0.986895,0.874000,0.808468,0.784373
35,0.027110,0.990927,0.557922,0.872984,0.880508
36,0.061124,0.980091,1.010213,0.713710,0.612572
37,0.030444,0.990927,0.395931,0.929435,0.915650
38,0.029980,0.989163,0.711357,0.802419,0.801469
39,0.024674,0.991179,0.554543,0.883065,0.886081
40,0.064679,0.980343,7.735505,0.352823,0.216810
41,0.041676,0.985383,0.242037,0.919355,0.901335
42,0.044954,0.984375,0.172454,0.951613,0.930324
43,0.040780,0.988407,0.175202,0.951613,0.956805
44,0.047432,0.985635,0.153558,0.963710,0.961592
45,0.018932,0.992944,0.657605,0.850806,0.841827
46,0.023067,0.993448,0.148941,0.961694,0.951026
47,0.028729,0.989415,0.404698,0.887097,0.829901
48,0.021453,0.994456,0.416127,0.877016,0.841284
49,0.021549,0.991683,2.704711,0.441532,0.385779
50,0.020470,0.993952,0.535863,0.864919,0.830639
51,0.020256,0.994456,0.218354,0.947581,0.950925
52,0.016331,0.994708,0.300019,0.909274,0.909502
53,0.034936,0.990423,0.294414,0.905242,0.881977
54,0.047683,0.984627,0.489263,0.881048,0.883023
55,0.045462,0.986391,1.549903,0.637097,0.595992
56,0.047887,0.985383,0.930575,0.780242,0.747400
57,0.048094,0.985635,0.112302,0.965726,0.962237
58,0.012908,0.995716,2.542156,0.451613,0.432125
59,0.026332,0.992188,0.869911,0.816532,0.770853
60,0.016741,0.994708,0.203542,0.947581,0.944439
61,0.051151,0.986391,1.023477,0.721774,0.692038
62,0.057139,0.982863,0.411790,0.901210,0.872304
63,0.038775,0.986139,1.055976,0.772177,0.776212
64,0.012648,0.996724,0.125679,0.957661,0.944504
65,0.004084,0.998740,0.230603,0.933468,0.924042
66,0.001712,0.999748,0.061287,0.979839,0.975155
67,0.000759,1.000000,0.053106,0.979839,0.973000
68,0.000426,1.000000,0.058371,0.983871,0.979282
69,0.000284,1.000000,0.049098,0.983871,0.978133
70,0.000150,1.000000,0.048533,0.985887,0.981584
71,0.000208,1.000000,0.044524,0.985887,0.981584
72,0.000500,1.000000,0.054203,0.985887,0.981243
73,0.000378,1.000000,0.058845,0.981855,0.978504
74,0.000116,1.000000,0.059046,0.979839,0.974408
75,0.000130,1.000000,0.056192,0.983871,0.979596
76,0.000086,1.000000,0.052937,0.981855,0.977398
77,0.019863,0.994204,1.219147,0.766129,0.687110
78,0.174091,0.942036,1.015283,0.822581,0.764390
79,0.081627,0.975806,1.501146,0.602823,0.625276
80,0.027158,0.993196,0.248768,0.943548,0.948524
81,0.006943,0.997732,0.064838,0.977823,0.971494
82,0.010775,0.995968,1.114323,0.699597,0.715690
83,0.022514,0.992692,0.332472,0.921371,0.913201
84,0.034113,0.990423,1.811245,0.663306,0.583338
85,0.058062,0.981603,1.585219,0.665323,0.606115
86,0.033832,0.991179,0.495658,0.883065,0.849750
87,0.024445,0.992440,0.973878,0.711694,0.714653
88,0.012047,0.996472,0.098996,0.967742,0.963498
89,0.008837,0.996976,0.173585,0.961694,0.941613
90,0.011391,0.997228,0.055166,0.985887,0.980942
