metric,value
attack,fgsm
split,legacy
epsilon,0.030000
alpha,n/a
pgd_steps,n/a
n_windows,996
clean_accuracy,0.961847
clean_macro_f1,0.938774
clean_fall_recall,0.988764
attack_accuracy,0.164659
attack_macro_f1,0.066641
fall_recall,0.011236
missed_fall_rate,0.988764
fall_precision,0.034483
fall_f1,0.016949
fall_true_positive,1
fall_false_negative,88
fall_false_positive,28
fall_true_negative,879
false_fall_alarm_count,28
prediction_change_rate,0.826305
