metric,value
fall_true_positive,43
fall_false_negative,2
fall_false_positive,2
fall_true_negative,453
fall_windows,45
nonfall_windows,455
fall_recall,0.955556
missed_fall_rate,0.044444
fall_precision,0.955556
fall_f1,0.955556
specificity,0.995604
false_positive_rate,0.004396
