class_index,class_name,precision,recall,f1,support
0,lie down,0.983333,0.893939,0.936508,66
1,fall,0.977778,0.977778,0.977778,45
2,walk,0.986486,0.993197,0.989831,147
3,pickup,0.924528,0.980000,0.951456,50
4,run,1.000000,0.983471,0.991667,121
5,sit down,0.679245,0.900000,0.774194,40
6,stand up,0.818182,0.580645,0.679245,31
