class_index,class_name,precision,recall,f1,support
0,lie down,1.000000,0.939394,0.968750,66
1,fall,0.956522,0.977778,0.967033,45
2,walk,1.000000,1.000000,1.000000,147
3,pickup,0.943396,1.000000,0.970874,50
4,run,1.000000,1.000000,1.000000,121
5,sit down,0.950000,0.950000,0.950000,40
6,stand up,0.967742,0.967742,0.967742,31
