metric,value
run_name,resnet18_seed42
best_epoch,43
epochs_run,63
max_epochs,200
early_stopped,True
best_val_macro_f1,0.976731
best_val_accuracy,0.981855
best_val_loss,0.069751
best_train_accuracy,0.998992
best_train_loss,0.003813
test_loss,0.251752
test_accuracy,0.942000
test_macro_f1,0.900097
fall_recall,0.977778
missed_fall_rate,0.022222
fall_precision,0.977778
fall_f1,0.977778
elapsed_seconds,28348.983719
