class_index,class_name,precision,recall,f1,support
0,lie down,0.984375,0.954545,0.969231,66
1,fall,0.957447,1.000000,0.978261,45
2,walk,0.993243,1.000000,0.996610,147
3,pickup,0.942308,0.980000,0.960784,50
4,run,1.000000,1.000000,1.000000,121
5,sit down,0.902439,0.925000,0.913580,40
6,stand up,1.000000,0.870968,0.931034,31
