epoch,lambda_b_current,lambda_b_next,far_val_pgd10,n_val_nonfall,val_pgd_false_fall_alarms,val_pgd_fall_recall,val_fgsm_fall_recall,val_fgsm_false_fall_alarms,val_clean_accuracy,val_clean_macro_f1,val_clean_fall_recall,val_normalized_false_alarm_burden,train_loss,mean_base,mean_src_motion,mean_fall_margin,mean_targeted,mean_nonfall_budget,mean_fall_rescue,fall_selected_count,nonfall_selected_count,fall_k_abs_floor_active_frac,budget_to_rescue_loss_ratio,clean_guard_eligible,selection_score,sel_maxscore
1,0.250000,0.250000,0.000000,452,0,0.000000,0.000000,0,0.243952,0.056031,0.000000,0.000000,4.209102,1.977234,0.110754,0.980311,0.120307,0.159006,0.980745,2.580645,7.661290,0.983871,0.162128,0,-2.712097,0
2,0.250000,0.250000,0.000000,452,0,0.000000,0.000000,0,0.169355,0.072303,0.000000,0.000000,3.930664,1.992897,0.018792,0.941559,0.026223,0.037028,0.941937,2.693548,7.612903,0.919355,0.039310,0,-2.861290,0
3,0.250000,0.250000,0.000000,452,0,0.000000,0.000000,0,0.233871,0.096088,0.000000,0.000000,3.965243,1.994635,0.014973,0.963901,0.020370,0.027954,0.964376,2.677419,7.629032,0.951613,0.028987,0,-2.732258,0
4,0.250000,0.250000,0.000000,452,0,0.000000,0.000000,0,0.298387,0.105876,0.000000,0.000000,3.850081,1.995825,0.010653,0.912196,0.014372,0.018490,0.912413,2.419355,7.741935,0.903226,0.020265,0,-2.603226,0
5,0.250000,0.250000,0.000000,452,0,0.000000,0.000000,0,0.260081,0.082906,0.000000,0.000000,3.876019,1.994593,0.012464,0.923756,0.015917,0.020995,0.924040,2.467742,7.693548,0.919355,0.022721,0,-2.679839,0
6,0.250000,0.250000,0.000000,452,0,0.000000,0.000000,0,0.292339,0.107713,0.000000,0.000000,3.928016,1.994772,0.006323,0.956752,0.009438,0.014731,0.957048,2.564516,7.741935,0.951613,0.015392,0,-2.615323,0
7,0.250000,0.250000,0.000000,452,0,0.000000,0.000000,0,0.066532,0.023255,0.000000,0.000000,3.958037,1.995552,0.007194,0.970662,0.010146,0.014116,0.970954,2.435484,7.790323,0.967742,0.014538,0,-3.066935,0
8,0.250000,0.250000,0.000000,452,0,0.000000,0.000000,0,0.328629,0.157325,0.000000,0.000000,3.929128,1.995342,0.007980,0.955304,0.010773,0.016478,0.955610,2.677419,7.645161,0.951613,0.017244,0,-2.542742,0
9,0.250000,0.250000,0.000000,452,0,0.000000,0.000000,0,0.298387,0.123422,0.000000,0.000000,3.952117,1.993332,0.007468,0.967480,0.011208,0.019675,0.967711,2.612903,7.709677,0.967742,0.020331,0,-2.603226,0
10,0.250000,0.250000,0.000000,452,0,0.000000,0.000000,0,0.389113,0.201641,0.000000,0.000000,3.926775,1.994580,0.009746,0.951964,0.012959,0.021075,0.952257,2.677419,7.661290,0.951613,0.022132,0,-2.421774,0
11,0.250000,0.250000,0.000000,452,0,0.000000,0.000000,0,0.375000,0.236682,0.000000,0.000000,3.951025,1.992980,0.007534,0.967344,0.010620,0.019456,0.967683,2.677419,7.677419,0.967742,0.020105,0,-2.450000,0
12,0.250000,0.250000,0.000000,452,0,0.000000,0.000000,0,0.209677,0.099885,0.000000,0.000000,3.951100,1.994109,0.006129,0.968377,0.009559,0.017095,0.968652,2.564516,7.693548,0.967742,0.017648,0,-2.780645,0
13,0.250000,0.250000,0.000000,452,0,0.000000,0.000000,0,0.292339,0.117898,0.000000,0.000000,3.917313,1.994306,0.008773,0.948324,0.011980,0.021039,0.948669,2.467742,7.741935,0.951613,0.022178,0,-2.615323,0
14,0.250000,0.250000,0.000000,452,0,0.000000,0.000000,0,0.290323,0.151259,0.000000,0.000000,3.857377,1.991898,0.009426,0.918174,0.012755,0.025519,0.918744,2.500000,7.709677,0.919355,0.027776,0,-2.619355,0
15,0.250000,0.250000,0.000000,452,0,0.000000,0.000000,0,0.330645,0.142201,0.000000,0.000000,3.882702,1.989585,0.011528,0.929594,0.014651,0.029101,0.930069,2.596774,7.693548,0.935484,0.031289,0,-2.538710,0
16,0.250000,0.250000,0.000000,452,0,0.000000,0.000000,0,0.399194,0.246489,0.000000,0.000000,3.821540,1.988469,0.015122,0.894205,0.019619,0.036556,0.894986,2.645161,7.661290,0.903226,0.040845,0,-2.401613,0
17,0.250000,0.250000,0.000000,452,0,0.000000,0.000000,0,0.439516,0.235891,0.000000,0.000000,3.976679,1.985373,0.020629,0.965350,0.026220,0.051512,0.966229,2.645161,7.661290,0.983871,0.053313,0,-2.320968,0
18,0.250000,0.250000,0.000000,452,0,0.000000,0.000000,0,0.377016,0.226218,0.000000,0.000000,3.899994,1.984784,0.020241,0.928222,0.024354,0.052078,0.929374,2.467742,7.741935,0.935484,0.056036,0,-2.445968,0
19,0.250000,0.250000,0.000000,452,0,0.000000,0.000000,0,0.391129,0.284426,0.000000,0.000000,3.883666,1.981960,0.024137,0.917468,0.028635,0.054586,0.917820,2.709677,7.693548,0.935484,0.059473,0,-2.417742,0
20,0.250000,0.250000,0.000000,452,0,0.000000,0.000000,0,0.348790,0.196242,0.000000,0.000000,3.875624,1.975818,0.028737,0.908035,0.034347,0.078815,0.908984,2.500000,7.645161,0.935484,0.086706,0,-2.502419,0
21,0.250000,0.250000,0.000000,452,0,0.000000,0.000000,0,0.451613,0.317821,0.000000,0.000000,3.876352,1.971359,0.034154,0.902138,0.042770,0.091676,0.903011,2.612903,7.693548,0.935484,0.101523,0,-2.296774,0
22,0.250000,0.250000,0.000000,452,0,0.000000,0.000000,0,0.415323,0.262038,0.000000,0.000000,3.922799,1.957976,0.048094,0.913151,0.055955,0.131638,0.914713,2.532258,7.693548,0.967742,0.143912,0,-2.369355,0
23,0.250000,0.250000,0.000000,452,0,0.000000,0.000000,0,0.437500,0.255620,0.000000,0.000000,3.857304,1.944875,0.063033,0.864607,0.076428,0.166766,0.866670,2.467742,7.709677,0.919355,0.192421,0,-2.325000,0
24,0.250000,0.250000,0.000000,452,0,0.000000,0.000000,0,0.433468,0.301514,0.000000,0.000000,3.890447,1.945543,0.059977,0.883484,0.071146,0.168406,0.888195,2.451613,7.741935,0.967742,0.189604,0,-2.333065,0
25,0.250000,0.250000,0.000000,452,0,0.000000,0.000000,0,0.427419,0.325695,0.000000,0.000000,3.807194,1.890545,0.105561,0.805126,0.118453,0.311217,0.809705,2.564516,7.693548,0.951613,0.384358,0,-2.345161,0
26,0.250000,0.250000,0.000000,452,0,0.000000,0.000000,0,0.429435,0.274560,0.000000,0.000000,3.775077,1.864539,0.123657,0.774344,0.147790,0.339506,0.779871,2.596774,7.677419,0.919355,0.435336,0,-2.341129,0
27,0.250000,0.250000,0.000000,452,0,0.000000,0.000000,0,0.453629,0.349174,0.000000,0.000000,3.761040,1.810523,0.138336,0.771618,0.159850,0.401178,0.780418,2.629032,7.677419,0.951613,0.514055,0,-2.292742,0
28,0.250000,0.250000,0.002212,452,1,0.000000,0.000000,0,0.437500,0.327829,0.136364,0.001106,3.762644,1.788917,0.189876,0.715171,0.216290,0.515916,0.723411,2.774194,7.612903,0.967742,0.713171,0,-2.052273,0
29,0.250000,0.250000,0.106195,452,48,0.090909,0.159091,33,0.453629,0.390185,0.613636,0.089602,3.596295,1.745155,0.201107,0.636213,0.220024,0.597973,0.644302,2.500000,7.677419,0.983871,0.928095,0,-0.999339,0
30,0.250000,0.250000,0.267699,452,121,0.636364,0.659091,99,0.477823,0.367196,0.840909,0.243363,3.469917,1.666276,0.287633,0.476618,0.330139,0.890232,0.486694,2.758065,7.645161,0.903226,1.829142,0,-0.596969,0
31,0.250000,0.250000,0.042035,452,19,0.045455,0.090909,17,0.487903,0.364832,0.272727,0.039823,3.431718,1.632584,0.325259,0.424633,0.370676,0.948106,0.441541,2.629032,7.612903,0.935484,2.147267,0,-1.633284,0
32,0.250000,0.250000,0.028761,452,13,0.045455,0.045455,8,0.514113,0.473581,0.477273,0.023230,3.345569,1.613394,0.265357,0.459403,0.325368,0.842984,0.471302,2.645161,7.677419,0.967742,1.788630,0,-1.171774,0
33,0.250000,0.250000,0.194690,452,88,0.500000,0.568182,69,0.510081,0.452424,0.931818,0.173673,3.209781,1.554042,0.293092,0.380623,0.344644,0.972324,0.394298,2.548387,7.645161,0.967742,2.465960,0,-0.258600,0
34,0.250000,0.250000,0.331858,452,150,0.818182,0.886364,120,0.497984,0.442909,0.977273,0.298673,3.207211,1.541785,0.320749,0.345275,0.372794,1.034215,0.368053,2.548387,7.677419,0.935484,2.809961,0,-0.513284,0
35,0.250000,0.250000,0.152655,452,69,0.318182,0.431818,42,0.566532,0.490730,0.931818,0.122788,3.164462,1.540447,0.298683,0.342180,0.368373,1.016476,0.360661,2.661290,7.629032,0.919355,2.818368,0,-0.159373,0
