epoch,train_loss,mean_motion_penalty,val_clean_accuracy,val_clean_macro_f1,val_clean_fall_recall,val_fgsm_fall_recall,val_pgd_fall_recall,val_fgsm_false_fall_alarms,val_pgd_false_fall_alarms,val_normalized_false_alarm_burden,safety_score,v2_eligible,sel_v2safety,sel_v2maxrec,sel_v2lowFA,sel_v2macroF1
50,0.798692,0.046490,0.856855,0.836792,0.954545,0.136364,0.000000,21,32,0.058628,0.341864,1,0,0,0,0
51,0.888756,0.065756,0.828629,0.818713,0.931818,0.068182,0.022727,20,29,0.054204,0.337761,1,0,0,0,0
52,0.868641,0.061842,0.808468,0.800564,0.977273,0.500000,0.113636,43,67,0.121681,0.431014,1,0,0,0,0
53,0.829168,0.066462,0.854839,0.827482,0.954545,0.386364,0.068182,33,63,0.106195,0.392790,1,0,0,0,0
54,0.732324,0.052291,0.872984,0.852938,0.931818,0.204545,0.000000,19,33,0.057522,0.340839,1,0,0,0,1
55,0.882083,0.064144,0.806452,0.804648,0.886364,0.340909,0.022727,18,39,0.063053,0.348240,1,0,0,0,0
56,0.832552,0.059842,0.858871,0.851391,0.977273,0.681818,0.386364,68,101,0.186947,0.565396,1,1,1,0,0
57,0.813493,0.071681,0.862903,0.837978,0.954545,0.363636,0.113636,35,54,0.098451,0.411746,1,0,0,1,0
58,0.895456,0.070508,0.854839,0.838220,0.954545,0.431818,0.250000,50,79,0.142699,0.475503,1,0,0,0,0
59,0.842000,0.064154,0.846774,0.832577,0.977273,0.409091,0.068182,36,51,0.096239,0.404012,1,0,0,0,0
60,0.749948,0.051092,0.830645,0.787974,0.863636,0.522727,0.204545,37,62,0.109513,0.435640,1,0,0,0,0
61,0.825105,0.064159,0.846774,0.829070,0.954545,0.522727,0.204545,43,62,0.116150,0.466794,1,0,0,0,0
62,0.774005,0.060152,0.854839,0.836809,0.977273,0.295455,0.045455,23,41,0.070796,0.384966,1,0,0,0,0
63,0.754994,0.048056,0.868952,0.862692,0.954545,0.295455,0.068182,20,34,0.059735,0.388345,1,0,0,0,1
64,0.815099,0.060801,0.836694,0.830907,0.977273,0.409091,0.136364,32,52,0.092920,0.435026,1,0,0,1,0
65,0.742793,0.049494,0.858871,0.833134,0.954545,0.477273,0.181818,43,72,0.127212,0.450915,1,0,0,0,0
66,0.782356,0.058324,0.875000,0.871173,0.931818,0.068182,0.000000,8,13,0.023230,0.330632,1,0,0,0,1
67,0.782965,0.056682,0.848790,0.837627,0.954545,0.454545,0.068182,38,62,0.110619,0.399165,1,0,0,0,0
68,0.751486,0.057428,0.828629,0.824390,0.977273,0.318182,0.068182,31,50,0.089602,0.395585,1,0,0,0,0
69,0.733977,0.051526,0.848790,0.855973,0.954545,0.318182,0.090909,35,54,0.098451,0.396973,1,0,0,0,0
70,0.846333,0.064537,0.842742,0.835131,0.977273,0.568182,0.250000,42,60,0.112832,0.500080,1,0,0,0,0
