model,type,clean_fall_recall_mean,clean_fall_recall_sd,fgsm03_fall_recall_mean,fgsm03_fall_recall_sd,pgd03_fall_recall_mean,pgd03_fall_recall_sd,fgsm03_exact_collapse_count,pgd03_exact_collapse_count,pgd_collapse_by_eps0035_count,evidence_status,notes,source,clean_fall_recall_display,fgsm03_fall_recall_display,pgd03_fall_recall_display
LeNet,Shallow CNN,0.977778,0.015713,0.048889,0.045542,0.0,0.0,2/5,5/5,5/5,full five-seed,PGD exact 0.000 at eps=0.03 in all 5 (zero variance); PGD reaches 0.000 by eps<=0.0125; FGSM exact 0.000 at eps=0.03 in 2/5,results/multiseed_robustness/multiseed_summary_stats.csv,0.978 +/- 0.016,0.049 +/- 0.046,0.000 +/- 0.000
GRU,Recurrent,0.92,0.012171,0.008889,0.012172,0.0,0.0,3/5,5/5,5/5,full five-seed,PGD exact 0.000 at eps=0.03 in all 5 (zero variance); PGD reaches 0.000 by eps<=0.025; FGSM exact 0.000 at eps=0.03 in 3/5,results/cross_architecture/gru/gru_clean_qualified_summary.csv,0.920 +/- 0.012,0.009 +/- 0.012,0.000 +/- 0.000
BiLSTM,Bidirectional recurrent,0.884444,0.042745,0.022222,0.04969,0.004444,0.009938,4/5,4/5,5/5,full five-seed,"seed 45 exception: FGSM@0.03=0.111, PGD@0.03=0.022; FGSM recall=0 none-in-grid (bottoms 0.022); PGD recall=0 at 0.035; all 5/5 reach PGD 0.000 by eps<=0.035",results/cross_architecture/bilstm/bilstm_clean_qualified_summary.csv,0.884 +/- 0.043,0.022 +/- 0.050,0.004 +/- 0.010
Transformer,Attention (ViT),0.946667,0.048686,0.004444,0.009938,0.0,0.0,4/5,5/5,5/5,full five-seed,"seed 45 exception: FGSM@0.03=0.022, PGD@0.03=0.000; FGSM recall=0 at 0.040; all 5/5 reach FGSM 0.000 by eps<=0.040 and PGD 0.000 by eps<=0.030",results/cross_architecture/transformer/transformer_clean_qualified_summary.csv,0.947 +/- 0.049,0.004 +/- 0.010,0.000 +/- 0.000
ResNet18,Deep CNN,0.977778,0.015713,0.008889,0.012172,0.0,0.0,3/5,5/5,5/5,full five clean-qualified seeds (2 excluded divergences: seeds 45 and 47),"required 7 fixed-protocol runs for 5 clean-qualified seeds; seeds 45 and 47 diverged to walk-only predictors (clean fall recall 0.000) and were EXCLUDED before attack evaluation; PGD exact 0.000 at eps=0.03 in 5/5; FGSM exact 3/5 (seeds 42, 44 retain 0.022); PGD reaches 0.000 by eps<=0.010",results/cross_architecture/resnet/resnet18_clean_qualified_summary.csv,0.978 +/- 0.016,0.009 +/- 0.012,0.000 +/- 0.000
