epoch,train_loss,train_clean_accuracy,train_adv_accuracy,val_clean_accuracy,val_clean_macro_f1,val_clean_fall_recall,val_fgsm_fall_recall,val_pgd_fall_recall,val_fgsm_false_fall_alarms,val_pgd_false_fall_alarms,val_clean_missed_fall_count,val_fgsm_missed_fall_count,val_pgd_missed_fall_count,val_normalized_false_alarm_burden,safety_score,selected_by_safety_score,selected_by_val_macro_f1
1,1.818154,15.968750,0.264113,0.088710,0.023280,1.000000,1.000000,1.000000,452,452,0,0,0,1.000000,0.800000,0,1
2,1.810170,14.468750,0.221270,0.185484,0.101927,0.659091,0.659091,0.659091,288,289,15,15,15,0.638274,0.529354,0,1
3,1.801284,19.781250,0.267641,0.290323,0.102594,0.000000,0.000000,0.000000,0,0,44,44,44,0.000000,0.000000,0,1
4,1.802910,18.656250,0.280746,0.300403,0.075986,0.000000,0.000000,0.000000,0,0,44,44,44,0.000000,0.000000,0,0
5,1.787003,16.281250,0.249496,0.239919,0.131809,0.659091,0.636364,0.613636,282,280,15,16,17,0.621681,0.508286,0,1
6,1.755076,19.625000,0.228831,0.334677,0.169896,0.681818,0.068182,0.022727,179,203,14,41,43,0.422566,0.213425,0,1
7,1.674323,24.562500,0.290827,0.491935,0.331232,0.659091,0.022727,0.022727,63,85,15,43,43,0.163717,0.226810,0,1
8,1.557516,29.812500,0.327117,0.439516,0.323085,0.681818,0.250000,0.068182,114,116,14,33,41,0.254425,0.268876,0,0
9,1.490471,31.718750,0.332661,0.381048,0.355584,0.909091,0.818182,0.704545,286,291,4,8,13,0.638274,0.653218,0,1
10,1.403071,32.937500,0.365927,0.552419,0.446139,0.750000,0.204545,0.068182,84,97,11,35,41,0.200221,0.293614,0,1
11,1.343946,35.468750,0.348286,0.586694,0.518819,0.818182,0.250000,0.090909,96,110,8,33,40,0.227876,0.329485,0,1
12,1.276720,38.375000,0.363407,0.560484,0.457130,0.818182,0.545455,0.204545,141,164,8,20,35,0.337389,0.399216,0,0
13,1.277474,38.625000,0.348286,0.631048,0.546128,0.840909,0.000000,0.000000,32,49,7,44,44,0.089602,0.285358,1,1
14,1.213635,39.406250,0.390625,0.631048,0.571838,0.795455,0.068182,0.000000,53,67,9,41,44,0.132743,0.271953,0,1
15,1.227536,40.437500,0.368448,0.645161,0.521506,0.909091,0.227273,0.045455,89,117,4,34,42,0.227876,0.338576,1,0
16,1.185213,41.062500,0.405242,0.685484,0.653219,0.818182,0.045455,0.000000,39,72,8,42,44,0.122788,0.278630,0,1
17,1.142886,42.093750,0.414315,0.671371,0.634159,0.931818,0.159091,0.000000,97,132,3,37,44,0.253319,0.316714,0,0
18,1.128860,43.062500,0.421371,0.699597,0.671408,0.863636,0.090909,0.022727,69,93,6,40,43,0.179204,0.303671,0,1
19,1.080287,43.281250,0.454133,0.705645,0.682066,0.909091,0.090909,0.000000,59,96,4,40,44,0.171460,0.310127,0,1
20,1.106670,44.562500,0.401714,0.725806,0.695570,0.909091,0.159091,0.045455,83,100,4,37,42,0.202434,0.334302,0,1
21,1.089119,44.593750,0.416331,0.679435,0.636123,0.931818,0.568182,0.227273,132,155,3,19,34,0.317478,0.453479,1,0
22,1.080654,45.218750,0.412298,0.719758,0.693458,0.909091,0.181818,0.068182,54,87,4,36,41,0.155973,0.351448,0,0
23,1.041712,45.375000,0.444052,0.737903,0.715562,0.954545,0.204545,0.045455,56,84,2,35,42,0.154867,0.359513,0,1
24,1.024334,46.250000,0.459173,0.733871,0.707675,0.954545,0.068182,0.045455,61,94,2,41,42,0.171460,0.344218,0,0
25,1.057346,47.125000,0.417843,0.733871,0.712700,0.954545,0.318182,0.045455,95,133,2,30,42,0.252212,0.361142,0,0
26,0.975352,47.125000,0.471270,0.723790,0.706084,0.954545,0.136364,0.045455,82,114,2,38,42,0.216814,0.346500,0,0
27,1.023511,48.218750,0.428931,0.750000,0.724688,0.977273,0.727273,0.409091,122,156,1,12,26,0.307522,0.568111,1,1
28,0.966405,47.468750,0.466734,0.780242,0.754574,0.954545,0.522727,0.090909,112,145,2,21,40,0.284292,0.398844,0,1
29,0.899199,48.218750,0.509577,0.776210,0.764688,0.977273,0.295455,0.068182,69,95,1,31,41,0.181416,0.384131,0,1
30,0.920463,48.375000,0.471774,0.766129,0.746960,0.977273,0.522727,0.159091,102,135,1,21,37,0.262168,0.439692,0,0
31,0.877543,49.968750,0.497480,0.780242,0.779296,0.863636,0.136364,0.000000,30,50,6,38,44,0.088496,0.307060,0,1
32,0.887587,49.343750,0.498992,0.754032,0.742857,0.977273,0.613636,0.295455,121,160,1,17,31,0.310841,0.505280,0,0
33,0.901056,50.843750,0.475806,0.762097,0.751103,0.977273,0.522727,0.227273,105,135,1,21,34,0.265487,0.470042,0,0
34,0.917707,48.906250,0.481855,0.758065,0.740310,0.954545,0.045455,0.000000,26,46,2,42,44,0.079646,0.330672,0,0
35,0.839582,51.281250,0.512601,0.784274,0.759021,0.977273,0.272727,0.045455,109,143,1,32,42,0.278761,0.361897,0,0
36,0.922978,50.218750,0.479839,0.782258,0.732879,0.931818,0.204545,0.000000,55,78,3,35,44,0.147124,0.331879,0,0
37,0.861976,50.187500,0.506552,0.802419,0.798667,0.977273,0.250000,0.068182,39,49,1,33,41,0.097345,0.387993,0,1
38,0.914832,50.468750,0.472278,0.804435,0.783086,0.954545,0.227273,0.022727,62,85,2,34,43,0.162611,0.350784,0,0
39,0.844714,51.562500,0.508065,0.798387,0.786576,0.977273,0.272727,0.000000,62,79,1,32,44,0.155973,0.353721,0,0
40,0.900869,51.531250,0.464214,0.816532,0.790969,0.977273,0.272727,0.090909,65,85,1,32,40,0.165929,0.393634,0,0
41,0.906332,51.312500,0.457157,0.790323,0.782602,0.977273,0.727273,0.295455,104,124,1,12,31,0.252212,0.522506,0,0
42,0.835626,49.906250,0.522681,0.828629,0.798566,0.977273,0.340909,0.045455,76,105,1,29,42,0.200221,0.376569,0,0
