condition,tp,fn,fp,tn,sensitivity_recall,specificity,precision_ppv,npv,f1,false_omission_rate,false_discovery_rate,balanced_accuracy,mcc,cohen_kappa
Undefended clean,43,2,0,455,0.9556,1.0000,1.0000,0.9956,0.9773,0.0044,0.0000,0.9778,0.9754,0.9751
"Undefended FGSM, $\epsilon=0.03$",0,45,47,408,0.0000,0.8967,0.0000,0.9007,0.0000,0.0993,1.0000,0.4484,-0.1013,-0.1013
"Undefended PGD, $\epsilon=0.03$",0,45,48,407,0.0000,0.8945,0.0000,0.9004,0.0000,0.0996,1.0000,0.4473,-0.1025,-0.1024
Defended clean,41,4,8,447,0.9111,0.9824,0.8367,0.9911,0.8723,0.0089,0.1633,0.9468,0.8601,0.8591
"Defended FGSM, $\epsilon=0.03$",14,31,27,428,0.3111,0.9407,0.3415,0.9325,0.3256,0.0675,0.6585,0.6259,0.2626,0.2623
"Defended PGD, $\epsilon=0.03$",4,41,54,401,0.0889,0.8813,0.0690,0.9072,0.0777,0.0928,0.9310,0.4851,-0.0266,-0.0264
