checkpoint,condition,fall_recall,false_fall_alarms,fall_precision,specificity,fpr_nonfall,binary_f1,missed_fall_count,tp,fp,fn,tn
FGSM_defense,clean,0.956,0,1.000,1.000,0.000,0.977,2,43,0,2,455
FGSM_defense,fgsm003,0.400,12,0.600,0.974,0.026,0.480,27,18,12,27,443
FGSM_defense,pgd003,0.022,35,0.028,0.923,0.077,0.025,44,1,35,44,420
D_safety,clean,1.000,47,0.489,0.897,0.103,0.657,0,45,47,0,408
D_safety,fgsm003,0.644,136,0.176,0.701,0.299,0.276,16,29,136,16,319
D_safety,pgd003,0.289,160,0.075,0.648,0.352,0.119,32,13,160,32,295
D_macroF1,clean,0.956,13,0.768,0.971,0.029,0.851,2,43,13,2,442
D_macroF1,fgsm003,0.200,57,0.136,0.875,0.125,0.162,36,9,57,36,398
D_macroF1,pgd003,0.111,77,0.061,0.831,0.169,0.079,40,5,77,40,378
E_lam1p0_bySafetyScore,clean,0.978,42,0.512,0.908,0.092,0.672,1,44,42,1,413
E_lam1p0_bySafetyScore,fgsm003,0.644,122,0.192,0.732,0.268,0.296,16,29,122,16,333
E_lam1p0_bySafetyScore,pgd003,0.378,151,0.101,0.668,0.332,0.160,28,17,151,28,304
E_lam1p0_byValMacroF1,clean,0.889,5,0.889,0.989,0.011,0.889,5,40,5,5,450
E_lam1p0_byValMacroF1,fgsm003,0.133,21,0.222,0.954,0.046,0.167,39,6,21,39,434
E_lam1p0_byValMacroF1,pgd003,0.022,38,0.026,0.916,0.084,0.024,44,1,38,44,417
