epoch,train_loss,mean_motion_margin,mean_fall_margin,val_clean_accuracy,val_clean_macro_f1,val_clean_fall_recall,val_fgsm_fall_recall,val_pgd_fall_recall,val_fgsm_false_fall_alarms,val_pgd_false_fall_alarms,val_normalized_false_alarm_burden,safety_score,v2_eligible,sel_v2safety,sel_v2maxrec,sel_v2lowFA,sel_v2macroF1
1,2.383243,0.053162,1.004782,0.294355,0.064976,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
2,2.330270,0.017896,1.013698,0.294355,0.064976,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
3,2.294944,0.017894,1.016095,0.294355,0.064976,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
4,2.312839,0.015394,1.006956,0.294355,0.064976,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
5,2.297322,0.019132,1.005406,0.288306,0.097905,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
6,2.325376,0.015494,0.998782,0.300403,0.106578,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
7,2.268318,0.018341,0.999270,0.344758,0.129155,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
8,2.239675,0.034762,0.962111,0.405242,0.198651,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
9,2.172353,0.075617,0.876862,0.449597,0.326514,0.431818,0.204545,0.181818,45,58,0.113938,0.242015,0,0,0,0,1
10,2.100383,0.140422,0.829494,0.493952,0.365585,0.727273,0.227273,0.090909,59,72,0.144912,0.303691,0,0,0,0,1
11,2.040570,0.146270,0.823394,0.528226,0.438957,0.909091,0.204545,0.113636,57,72,0.142699,0.375503,0,0,0,0,1
12,1.988872,0.208738,0.671678,0.538306,0.459445,0.863636,0.295455,0.136364,58,85,0.158186,0.377363,0,0,0,0,1
13,1.979702,0.228457,0.670546,0.560484,0.465615,0.886364,0.500000,0.250000,84,106,0.210177,0.451710,0,0,0,0,1
14,1.866296,0.230734,0.549727,0.560484,0.499663,0.795455,0.000000,0.000000,26,37,0.069690,0.271440,0,0,0,0,1
15,1.716050,0.201790,0.458810,0.608871,0.571443,0.863636,0.113636,0.022727,41,53,0.103982,0.313465,0,0,0,0,1
16,1.637539,0.213533,0.390346,0.625000,0.583889,0.977273,0.659091,0.454545,150,181,0.366150,0.575885,0,0,0,0,1
17,1.691929,0.206396,0.483179,0.661290,0.633646,0.931818,0.159091,0.022727,44,74,0.130531,0.339220,0,0,0,0,1
18,1.658993,0.180134,0.503119,0.661290,0.608299,0.954545,0.318182,0.068182,56,86,0.157080,0.380883,0,0,0,0,0
19,1.737542,0.227086,0.536270,0.679435,0.652503,0.977273,0.704545,0.318182,91,116,0.228982,0.532784,0,0,0,0,1
20,1.625567,0.203554,0.430599,0.657258,0.618269,0.818182,0.022727,0.000000,19,34,0.058628,0.282774,0,0,0,0,0
21,1.557355,0.201027,0.409830,0.663306,0.590097,0.977273,0.727273,0.318182,85,112,0.217920,0.536163,0,0,0,0,0
22,1.560486,0.210299,0.398782,0.699597,0.670592,0.954545,0.500000,0.113636,50,78,0.141593,0.421068,0,0,0,0,1
23,1.462276,0.191993,0.354064,0.691532,0.660710,0.977273,0.318182,0.136364,45,65,0.121681,0.423059,0,0,0,0,0
24,1.353685,0.166176,0.266188,0.727823,0.702432,0.977273,0.613636,0.295455,66,84,0.165929,0.519771,1,1,1,1,1
25,1.277784,0.147121,0.286749,0.719758,0.694867,0.977273,0.795455,0.545455,96,117,0.235619,0.643484,1,1,1,0,0
26,1.398278,0.172362,0.412856,0.715726,0.703032,0.886364,0.022727,0.022727,22,45,0.074115,0.315316,1,0,0,0,1
27,1.403536,0.170149,0.427704,0.725806,0.686908,0.931818,0.340909,0.227273,56,79,0.149336,0.447566,1,0,0,1,0
28,1.557618,0.231846,0.397046,0.717742,0.680713,0.954545,0.681818,0.522727,76,114,0.210177,0.616482,1,0,0,0,0
29,1.334890,0.165377,0.365983,0.745968,0.738880,0.909091,0.204545,0.000000,38,51,0.098451,0.328791,1,0,0,0,1
30,1.264751,0.153017,0.322555,0.713710,0.695803,0.977273,0.272727,0.113636,37,56,0.102876,0.410167,1,0,0,1,0
31,1.260413,0.167078,0.289850,0.711694,0.663020,0.977273,0.727273,0.318182,74,100,0.192478,0.538707,1,0,0,0,0
32,1.305163,0.226711,0.279034,0.739919,0.724135,0.977273,0.727273,0.318182,69,100,0.186947,0.539260,1,0,0,0,0
33,1.317763,0.176661,0.349513,0.758065,0.749081,0.954545,0.068182,0.022727,13,27,0.044248,0.346712,1,0,0,0,1
34,1.317309,0.179466,0.351714,0.699597,0.664296,0.886364,0.363636,0.045455,44,75,0.131637,0.353882,0,0,0,0,0
35,1.432262,0.224342,0.395795,0.701613,0.655944,0.977273,0.727273,0.318182,59,92,0.167035,0.541251,1,0,0,0,0
