epoch,train_loss,mean_motion_margin,mean_fall_margin,val_clean_accuracy,val_clean_macro_f1,val_clean_fall_recall,val_fgsm_fall_recall,val_pgd_fall_recall,val_fgsm_false_fall_alarms,val_pgd_false_fall_alarms,val_normalized_false_alarm_burden,safety_score,v2_eligible,sel_v2safety,sel_v2maxrec,sel_v2lowFA,sel_v2macroF1
1,2.841444,0.343741,0.680819,0.247984,0.060075,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
2,2.793952,0.252684,0.754531,0.294355,0.064976,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
3,2.763419,0.269737,0.749042,0.294355,0.064976,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
4,2.780852,0.265119,0.744531,0.294355,0.064976,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
5,2.752498,0.156787,0.854405,0.268145,0.085734,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
6,2.788625,0.259141,0.737614,0.260081,0.107255,0.340909,0.340909,0.318182,93,100,0.213496,0.275241,0,0,0,0,1
7,2.714730,0.287491,0.719653,0.352823,0.133489,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
8,2.641859,0.345290,0.613344,0.370968,0.141439,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
9,2.546964,0.379672,0.496521,0.423387,0.275163,0.318182,0.068182,0.045455,4,20,0.026549,0.135981,0,0,0,0,1
10,2.533910,0.287344,0.627669,0.403226,0.251106,0.272727,0.113636,0.136364,13,20,0.036504,0.164531,0,0,0,0,0
11,2.431307,0.327519,0.533924,0.423387,0.339889,0.545455,0.159091,0.090909,30,41,0.078540,0.239873,0,0,0,0,1
12,2.385514,0.397441,0.438261,0.413306,0.295521,0.863636,0.613636,0.568182,122,144,0.294248,0.589893,0,0,0,0,0
13,2.252057,0.400117,0.348115,0.346774,0.256385,0.954545,0.863636,0.863636,237,258,0.547566,0.754334,0,0,0,0,0
14,2.250344,0.404240,0.361755,0.391129,0.281139,0.954545,0.886364,0.863636,218,233,0.498894,0.761474,0,0,0,0,0
15,2.246124,0.361279,0.418784,0.461694,0.349370,0.977273,0.750000,0.750000,133,162,0.326327,0.721913,0,0,0,0,1
16,2.034437,0.357889,0.283695,0.437500,0.339092,0.977273,0.909091,0.840909,176,199,0.414823,0.769881,0,0,0,0,0
17,2.132134,0.348669,0.374321,0.550403,0.451031,0.909091,0.409091,0.272727,74,100,0.192478,0.462570,0,0,0,0,1
18,1.994456,0.330660,0.298329,0.489919,0.411962,0.795455,0.022727,0.022727,28,39,0.074115,0.283498,0,0,0,0,0
19,2.100558,0.399912,0.302354,0.502016,0.451710,0.977273,0.931818,0.818182,153,168,0.355088,0.767900,0,0,0,0,1
20,2.044698,0.371012,0.298042,0.564516,0.484230,0.931818,0.500000,0.318182,66,85,0.167035,0.502615,0,0,0,0,1
21,2.029977,0.359314,0.305398,0.548387,0.468610,0.954545,0.750000,0.636364,101,130,0.255531,0.669901,0,0,0,0,0
22,1.888996,0.322794,0.247964,0.554435,0.504698,0.954545,0.477273,0.295455,58,73,0.144912,0.500282,0,0,0,0,1
