epoch,train_loss,mean_motion_margin,mean_fall_margin,val_clean_accuracy,val_clean_macro_f1,val_clean_fall_recall,val_fgsm_fall_recall,val_pgd_fall_recall,val_fgsm_false_fall_alarms,val_pgd_false_fall_alarms,val_normalized_false_alarm_burden,safety_score,v2_eligible,sel_v2safety,sel_v2maxrec,sel_v2lowFA,sel_v2macroF1
1,2.395578,0.975015,0.067692,0.088710,0.023280,1.000000,1.000000,1.000000,452,452,1.000000,0.800000,0,0,0,0,1
2,2.363670,0.991003,0.042677,0.088710,0.023280,1.000000,1.000000,1.000000,452,452,1.000000,0.800000,0,0,0,0,0
3,2.352811,0.979084,0.043210,0.088710,0.023280,1.000000,1.000000,1.000000,452,452,1.000000,0.800000,0,0,0,0,0
4,2.361607,0.989623,0.041567,0.088710,0.023280,1.000000,1.000000,1.000000,452,452,1.000000,0.800000,0,0,0,0,0
5,2.352277,0.962741,0.049456,0.088710,0.023280,1.000000,1.000000,1.000000,452,452,1.000000,0.800000,0,0,0,0,0
6,2.339290,1.002012,0.015747,0.088710,0.023280,1.000000,1.000000,1.000000,452,452,1.000000,0.800000,0,0,0,0,0
7,2.343492,0.978415,0.039010,0.088710,0.023280,1.000000,1.000000,1.000000,452,452,1.000000,0.800000,0,0,0,0,0
8,2.340997,0.970109,0.040734,0.088710,0.023280,1.000000,1.000000,1.000000,452,452,1.000000,0.800000,0,0,0,0,0
9,2.330079,0.980827,0.027033,0.088710,0.023280,1.000000,1.000000,1.000000,452,452,1.000000,0.800000,0,0,0,0,0
10,2.337502,0.970345,0.047135,0.088710,0.023280,1.000000,1.000000,1.000000,452,452,1.000000,0.800000,0,0,0,0,0
11,2.333999,0.954537,0.063884,0.088710,0.023280,1.000000,1.000000,1.000000,452,452,1.000000,0.800000,0,0,0,0,0
12,2.326535,0.969448,0.050029,0.088710,0.023280,1.000000,1.000000,1.000000,452,452,1.000000,0.800000,0,0,0,0,0
13,2.284586,0.975674,0.029272,0.094758,0.030323,1.000000,1.000000,1.000000,450,452,0.997788,0.800221,0,0,0,0,1
14,2.305707,0.878625,0.118322,0.094758,0.030323,1.000000,1.000000,1.000000,452,452,1.000000,0.800000,0,0,0,0,0
15,2.262425,0.890135,0.090122,0.114919,0.049248,1.000000,1.000000,1.000000,437,436,0.965708,0.803429,0,0,0,0,1
16,2.240112,0.843100,0.120355,0.147177,0.114369,1.000000,1.000000,1.000000,430,428,0.949115,0.805088,0,0,0,0,1
17,2.225791,0.873567,0.087906,0.231855,0.174970,1.000000,0.977273,0.977273,378,383,0.841814,0.803319,0,0,0,0,1
18,2.232179,0.832676,0.126931,0.229839,0.156955,0.977273,0.909091,0.886364,329,318,0.715708,0.760247,0,0,0,0,0
19,2.224386,0.834333,0.130017,0.298387,0.245457,1.000000,0.977273,0.954545,253,248,0.554204,0.821852,0,0,0,0,1
