model_defense,selection_method,clean_accuracy,clean_fall_recall,fgsm_0p030_fall_recall,fgsm_false_fall_alarms,pgd_0p030_fall_recall,pgd_false_fall_alarms,pgd_walk_to_fall,pgd_run_to_fall,pgd_walk_run_share,fgsm_collapse_epsilon,pgd_collapse_epsilon,notes
Existing FGSM defense,0.5cleanF1+0.5fgsmF1,0.834,0.911,0.311,27,0.089,54,15,24,0.722,0.025,0.018,
Variant D safety-guided,safety_score,0.746,1.000,0.778,123,0.444,157,55,65,0.764,0.045,0.030,
Variant D macro-F1,val_macro_f1,0.848,0.956,0.467,70,0.133,79,19,42,0.772,0.030,0.025,
Variant E (E_lam0p5_bySafetyScore),safety_score,0.654,0.911,0.267,110,0.089,145,45,55,0.690,0.025,0.018,
Variant E (E_lam0p5_byValMacroF1),val_macro_f1,0.800,0.911,0.044,37,0.044,51,6,29,0.686,0.018,0.015,
Variant E (E_lam1p0_bySafetyScore),safety_score,0.806,0.978,0.711,80,0.356,117,37,43,0.684,0.040,0.030,
Variant E (E_lam1p0_byValMacroF1),val_macro_f1,0.836,0.911,0.000,13,0.000,20,9,6,0.750,0.015,0.013,
Variant E (E_lam2p0_bySafetyScore),safety_score,0.730,0.933,0.533,95,0.178,122,44,44,0.721,0.035,0.025,
Variant E (E_lam2p0_byValMacroF1),val_macro_f1,0.850,0.956,0.156,25,0.067,30,11,5,0.533,0.020,0.018,
