epoch,train_pgd_ce_loss,train_rank_loss,train_total_loss,n_batches,n_rank_active_batches,rank_active_fraction,val_clean_accuracy,val_clean_macro_f1,val_clean_fall_recall,val_pgd_recall_at_cap017,val_pgd_far_at_cap017,val_pgd_tp_at_cap017,clean_guard_pass
1,1.609744,0.114859,1.667173,62,62,1.0000,0.707661,0.700582,0.863636,0.750000,0.168142,33,False
2,1.531512,0.104478,1.583751,62,62,1.0000,0.705645,0.709881,0.840909,0.772727,0.159292,34,False
3,1.492715,0.101398,1.543414,62,62,1.0000,0.675403,0.681058,0.772727,0.750000,0.163717,33,False
4,1.472635,0.101048,1.523159,62,61,0.9839,0.697581,0.696675,0.863636,0.704545,0.154867,31,False
5,1.455340,0.108447,1.509563,62,61,0.9839,0.673387,0.676010,0.590909,0.772727,0.168142,34,False
6,1.449139,0.099766,1.499022,62,62,1.0000,0.695565,0.699257,0.659091,0.727273,0.168142,32,False
7,1.429663,0.105375,1.482350,62,62,1.0000,0.673387,0.673605,0.636364,0.681818,0.159292,30,False
8,1.420119,0.101023,1.470631,62,62,1.0000,0.689516,0.693290,0.727273,0.727273,0.157080,32,False
9,1.411200,0.099187,1.460794,62,61,0.9839,0.675403,0.673794,0.545455,0.704545,0.163717,31,False
10,1.405576,0.096683,1.453917,62,62,1.0000,0.683468,0.683829,0.727273,0.681818,0.168142,30,False
11,1.396429,0.096858,1.444858,62,62,1.0000,0.691532,0.692151,0.704545,0.704545,0.165929,31,False
12,1.391402,0.098333,1.440569,62,61,0.9839,0.683468,0.686361,0.636364,0.704545,0.165929,31,False
13,1.382484,0.097053,1.431010,62,62,1.0000,0.671371,0.676027,0.727273,0.704545,0.168142,31,False
14,1.378463,0.095747,1.426336,62,62,1.0000,0.679435,0.682797,0.750000,0.727273,0.163717,32,False
15,1.373077,0.098598,1.422376,62,62,1.0000,0.681452,0.684509,0.659091,0.727273,0.168142,32,False
16,1.368442,0.095117,1.416001,62,62,1.0000,0.657258,0.667051,0.613636,0.704545,0.154867,31,False
17,1.358712,0.093413,1.405419,62,61,0.9839,0.695565,0.699895,0.613636,0.704545,0.165929,31,False
18,1.351628,0.093452,1.398354,62,62,1.0000,0.685484,0.691494,0.704545,0.727273,0.161504,32,False
19,1.347125,0.093903,1.394076,62,62,1.0000,0.675403,0.681065,0.704545,0.772727,0.165929,34,False
20,1.340543,0.096743,1.388915,62,62,1.0000,0.685484,0.680742,0.659091,0.772727,0.168142,34,False
21,1.336729,0.089708,1.381583,62,62,1.0000,0.689516,0.678393,0.568182,0.840909,0.168142,37,False
22,1.334402,0.093188,1.380996,62,62,1.0000,0.701613,0.699363,0.613636,0.750000,0.154867,33,False
23,1.328606,0.095820,1.376516,62,62,1.0000,0.677419,0.680797,0.590909,0.727273,0.159292,32,False
24,1.322356,0.088782,1.366748,62,62,1.0000,0.687500,0.689523,0.681818,0.772727,0.163717,34,False
25,1.320401,0.093604,1.367203,62,62,1.0000,0.697581,0.700092,0.681818,0.750000,0.168142,33,False
26,1.316229,0.095461,1.363960,62,62,1.0000,0.675403,0.674740,0.568182,0.750000,0.163717,33,False
27,1.307142,0.091225,1.352755,62,62,1.0000,0.703629,0.704662,0.659091,0.795455,0.168142,35,False
28,1.308351,0.091437,1.354070,62,62,1.0000,0.695565,0.695296,0.659091,0.704545,0.159292,31,False
29,1.304175,0.092312,1.350332,62,62,1.0000,0.699597,0.695304,0.613636,0.818182,0.165929,36,False
30,1.303675,0.090905,1.349127,62,62,1.0000,0.689516,0.692680,0.704545,0.795455,0.168142,35,False
31,1.297473,0.092526,1.343736,62,62,1.0000,0.699597,0.699902,0.659091,0.795455,0.168142,35,False
32,1.292187,0.091070,1.337721,62,62,1.0000,0.695565,0.692689,0.681818,0.727273,0.161504,32,False
33,1.289112,0.090033,1.334129,62,62,1.0000,0.705645,0.703250,0.727273,0.795455,0.159292,35,False
34,1.285318,0.095295,1.332965,62,62,1.0000,0.709677,0.709920,0.613636,0.818182,0.168142,36,False
35,1.279353,0.091029,1.324867,62,62,1.0000,0.715726,0.716157,0.727273,0.772727,0.163717,34,False
36,1.277227,0.088966,1.321710,62,62,1.0000,0.705645,0.696010,0.636364,0.840909,0.163717,37,False
37,1.275235,0.081893,1.316181,62,61,0.9839,0.717742,0.709854,0.681818,0.795455,0.165929,35,False
38,1.270941,0.090589,1.316235,62,62,1.0000,0.723790,0.719604,0.681818,0.818182,0.168142,36,False
39,1.268940,0.084818,1.311349,62,61,0.9839,0.717742,0.712637,0.795455,0.818182,0.168142,36,False
40,1.262070,0.089987,1.307063,62,62,1.0000,0.723790,0.719341,0.727273,0.772727,0.154867,34,False
