metric,value
attack,fgsm
split,legacy
epsilon,0.030000
alpha,n/a
pgd_steps,n/a
n_windows,996
clean_accuracy,0.949799
clean_macro_f1,0.932974
clean_fall_recall,0.977528
attack_accuracy,0.003012
attack_macro_f1,0.004078
fall_recall,0.011236
missed_fall_rate,0.988764
fall_precision,0.012195
fall_f1,0.011696
fall_true_positive,1
fall_false_negative,88
fall_false_positive,81
fall_true_negative,826
false_fall_alarm_count,81
prediction_change_rate,0.952811
