metric,value
attack,pgd
split,legacy
epsilon,0.030000
alpha,0.005000
pgd_steps,10
n_windows,996
clean_accuracy,0.800201
clean_macro_f1,0.771859
clean_fall_recall,0.876404
attack_accuracy,0.009036
attack_macro_f1,0.005860
fall_recall,0.011236
missed_fall_rate,0.988764
fall_precision,0.006803
fall_f1,0.008475
fall_true_positive,1
fall_false_negative,88
fall_false_positive,146
fall_true_negative,761
false_fall_alarm_count,146
prediction_change_rate,0.837349
