class_index,class_name,precision,recall,f1,support
0,lie down,0.950000,0.863636,0.904762,66
1,fall,0.916667,0.977778,0.946237,45
2,walk,0.965753,0.959184,0.962457,147
3,pickup,0.941176,0.960000,0.950495,50
4,run,0.967213,0.975207,0.971193,121
5,sit down,0.837838,0.775000,0.805195,40
6,stand up,0.805556,0.935484,0.865672,31
