metric,value
fall_true_positive,39
fall_false_negative,6
fall_false_positive,4
fall_true_negative,451
fall_windows,45
nonfall_windows,455
fall_recall,0.866667
missed_fall_rate,0.133333
fall_precision,0.906977
fall_f1,0.886364
specificity,0.991209
false_positive_rate,0.008791
