class_index,class_name,precision,recall,f1,support
0,lie down,0.982456,0.848485,0.910569,66
1,fall,0.956522,0.977778,0.967033,45
2,walk,0.959459,0.965986,0.962712,147
3,pickup,0.941176,0.960000,0.950495,50
4,run,0.967480,0.983471,0.975410,121
5,sit down,0.882353,0.750000,0.810811,40
6,stand up,0.756098,1.000000,0.861111,31
