class_index,class_name,precision,recall,f1,support
0,lie down,0.680000,0.772727,0.723404,66
1,fall,0.807692,0.933333,0.865979,45
2,walk,0.829932,0.829932,0.829932,147
3,pickup,0.904762,0.760000,0.826087,50
4,run,0.950000,0.785124,0.859729,121
5,sit down,0.540000,0.675000,0.600000,40
6,stand up,0.558824,0.612903,0.584615,31
