metric,value
run_name,transformer_seed44
best_epoch,113
epochs_run,133
max_epochs,200
early_stopped,True
best_val_macro_f1,0.957326
best_val_accuracy,0.965726
best_val_loss,0.121675
best_train_accuracy,0.980343
best_train_loss,0.062779
test_loss,0.236953
test_accuracy,0.940000
test_macro_f1,0.919734
fall_recall,0.977778
missed_fall_rate,0.022222
fall_precision,0.956522
fall_f1,0.967033
elapsed_seconds,2627.118837
