metric,value
attack,fgsm
split,legacy
epsilon,0.030000
alpha,n/a
pgd_steps,n/a
n_windows,996
clean_accuracy,0.932731
clean_macro_f1,0.916966
clean_fall_recall,0.988764
attack_accuracy,0.008032
attack_macro_f1,0.008558
fall_recall,0.000000
missed_fall_rate,1.000000
fall_precision,0.000000
fall_f1,0.000000
fall_true_positive,0
fall_false_negative,89
fall_false_positive,86
fall_true_negative,821
false_fall_alarm_count,86
prediction_change_rate,0.932731
