class_index,class_name,precision,recall,f1,support
0,lie down,0.709677,0.666667,0.687500,66
1,fall,0.906977,0.866667,0.886364,45
2,walk,0.866667,0.884354,0.875421,147
3,pickup,0.826087,0.760000,0.791667,50
4,run,0.955752,0.892562,0.923077,121
5,sit down,0.500000,0.750000,0.600000,40
6,stand up,0.807692,0.677419,0.736842,31
