attack,split,epsilon,pgd_steps,pgd_alpha,attack_accuracy,attack_macro_f1,fall_recall,missed_fall_rate,fall_precision,fall_f1,fall_true_positive,fall_false_negative,fall_false_positive,fall_true_negative,false_fall_alarm_count,prediction_change_rate,fall_recall_drop_vs_clean,accuracy_drop_vs_clean
fgsm,legacy,0.000000,n/a,n/a,0.932731,0.916966,0.988764,0.011236,0.956522,0.972376,88,1,4,903,4,0.000000,0.000000,0.000000
fgsm,legacy,0.002500,n/a,n/a,0.819277,0.809187,0.910112,0.089888,0.870968,0.890110,81,8,12,895,12,0.114458,0.078652,0.113454
fgsm,legacy,0.005000,n/a,n/a,0.623494,0.622387,0.741573,0.258427,0.694737,0.717391,66,23,29,878,29,0.311245,0.247191,0.309237
fgsm,legacy,0.007500,n/a,n/a,0.407631,0.405555,0.528090,0.471910,0.435185,0.477157,47,42,61,846,61,0.527108,0.460674,0.525100
fgsm,legacy,0.010000,n/a,n/a,0.238956,0.233340,0.280899,0.719101,0.242718,0.260417,25,64,78,829,78,0.697791,0.707865,0.693775
fgsm,legacy,0.012500,n/a,n/a,0.140562,0.141849,0.146067,0.853933,0.134021,0.139785,13,76,84,823,84,0.796185,0.842697,0.792169
fgsm,legacy,0.015000,n/a,n/a,0.089357,0.088650,0.101124,0.898876,0.093750,0.097297,9,80,87,820,87,0.847390,0.887640,0.843373
fgsm,legacy,0.017500,n/a,n/a,0.057229,0.058748,0.078652,0.921348,0.073684,0.076087,7,82,88,819,88,0.880522,0.910112,0.875502
fgsm,legacy,0.020000,n/a,n/a,0.036145,0.036798,0.033708,0.966292,0.032967,0.033333,3,86,88,819,88,0.902610,0.955056,0.896586
fgsm,legacy,0.025000,n/a,n/a,0.014056,0.014254,0.011236,0.988764,0.011364,0.011299,1,88,87,820,87,0.926707,0.977528,0.918675
fgsm,legacy,0.030000,n/a,n/a,0.008032,0.008558,0.000000,1.000000,0.000000,0.000000,0,89,86,821,86,0.932731,0.988764,0.924699
fgsm,legacy,0.035000,n/a,n/a,0.005020,0.005137,0.000000,1.000000,0.000000,0.000000,0,89,80,827,80,0.935743,0.988764,0.927711
fgsm,legacy,0.040000,n/a,n/a,0.003012,0.002735,0.000000,1.000000,0.000000,0.000000,0,89,78,829,78,0.938755,0.988764,0.929719
fgsm,legacy,0.045000,n/a,n/a,0.003012,0.002693,0.000000,1.000000,0.000000,0.000000,0,89,73,834,73,0.939759,0.988764,0.929719
fgsm,legacy,0.050000,n/a,n/a,0.005020,0.005245,0.000000,1.000000,0.000000,0.000000,0,89,64,843,64,0.937751,0.988764,0.927711
fgsm,legacy,0.055000,n/a,n/a,0.006024,0.006859,0.000000,1.000000,0.000000,0.000000,0,89,54,853,54,0.939759,0.988764,0.926707
fgsm,legacy,0.060000,n/a,n/a,0.008032,0.009182,0.000000,1.000000,0.000000,0.000000,0,89,38,869,38,0.938755,0.988764,0.924699
fgsm,legacy,0.075000,n/a,n/a,0.016064,0.015841,0.000000,1.000000,0.000000,0.000000,0,89,11,896,11,0.943775,0.988764,0.916667
