attack,split,epsilon,pgd_steps,pgd_alpha,attack_accuracy,attack_macro_f1,fall_recall,missed_fall_rate,fall_precision,fall_f1,fall_true_positive,fall_false_negative,fall_false_positive,fall_true_negative,false_fall_alarm_count,prediction_change_rate,fall_recall_drop_vs_clean,accuracy_drop_vs_clean
pgd,legacy,0.000000,10,0.000000,0.949799,0.932974,0.977528,0.022472,0.925532,0.950820,87,2,7,900,7,0.000000,0.000000,0.000000
pgd,legacy,0.002500,10,0.000417,0.844378,0.829823,0.932584,0.067416,0.821782,0.873684,83,6,18,889,18,0.107430,0.044944,0.105422
pgd,legacy,0.005000,10,0.000833,0.660643,0.655230,0.865169,0.134831,0.681416,0.762376,77,12,36,871,36,0.291165,0.112360,0.289157
pgd,legacy,0.007500,10,0.001250,0.395582,0.399189,0.584270,0.415730,0.436975,0.500000,52,37,67,840,67,0.556225,0.393258,0.554217
pgd,legacy,0.010000,10,0.001667,0.193775,0.200976,0.303371,0.696629,0.232759,0.263415,27,62,89,818,89,0.758032,0.674157,0.756024
pgd,legacy,0.012500,10,0.002083,0.099398,0.103075,0.191011,0.808989,0.155963,0.171717,17,72,92,815,92,0.852410,0.786517,0.850402
pgd,legacy,0.015000,10,0.002500,0.045181,0.050944,0.112360,0.887640,0.096154,0.103627,10,79,94,813,94,0.907631,0.865169,0.904618
pgd,legacy,0.017500,10,0.002917,0.021084,0.025112,0.056180,0.943820,0.049505,0.052632,5,84,96,811,96,0.931727,0.921348,0.928715
pgd,legacy,0.020000,10,0.003333,0.006024,0.007139,0.011236,0.988764,0.010417,0.010811,1,88,95,812,95,0.947791,0.966292,0.943775
pgd,legacy,0.025000,10,0.004167,0.001004,0.001596,0.011236,0.988764,0.011111,0.011173,1,88,89,818,89,0.952811,0.966292,0.948795
pgd,legacy,0.030000,10,0.005000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,89,85,822,85,0.955823,0.977528,0.949799
pgd,legacy,0.035000,10,0.005833,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,89,85,822,85,0.955823,0.977528,0.949799
pgd,legacy,0.040000,10,0.006667,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,89,84,823,84,0.955823,0.977528,0.949799
pgd,legacy,0.045000,10,0.007500,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,89,84,823,84,0.956827,0.977528,0.949799
pgd,legacy,0.050000,10,0.008333,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,89,81,826,81,0.957831,0.977528,0.949799
pgd,legacy,0.055000,10,0.009167,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,89,81,826,81,0.956827,0.977528,0.949799
pgd,legacy,0.060000,10,0.010000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,89,80,827,80,0.956827,0.977528,0.949799
pgd,legacy,0.075000,10,0.012500,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,89,80,827,80,0.958835,0.977528,0.949799
