class_index,class_name,precision,recall,f1,support
0,lie down,0.868852,0.803030,0.834646,66
1,fall,0.977778,0.977778,0.977778,45
2,walk,0.964789,0.931973,0.948097,147
3,pickup,0.865385,0.900000,0.882353,50
4,run,0.960000,0.991736,0.975610,121
5,sit down,0.804878,0.825000,0.814815,40
6,stand up,0.794118,0.870968,0.830769,31
