metric,value
run_name,transformer_seed45
best_epoch,97
epochs_run,117
max_epochs,200
early_stopped,True
best_val_macro_f1,0.950940
best_val_accuracy,0.963710
best_val_loss,0.124081
best_train_accuracy,0.946069
best_train_loss,0.145880
test_loss,0.239627
test_accuracy,0.936000
test_macro_f1,0.915144
fall_recall,0.977778
missed_fall_rate,0.022222
fall_precision,0.916667
fall_f1,0.946237
elapsed_seconds,2316.988412
