epoch,train_loss,mean_base,mean_src_motion,mean_fall_margin,mean_targeted,val_clean_accuracy,val_clean_macro_f1,val_clean_fall_recall,val_fgsm_fall_recall,val_pgd_fall_recall,val_fgsm_false_fall_alarms,val_pgd_false_fall_alarms,val_normalized_false_alarm_burden,safety_score,v2_eligible,sel_v2safety,sel_v2maxrec,sel_v2lowFA,sel_v2macroF1
40,2.918937,1.859262,0.061119,0.940704,0.057852,0.455645,0.271254,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
41,2.955999,1.845246,0.079799,0.954748,0.076207,0.360887,0.199946,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
42,2.898750,1.862395,0.064938,0.908949,0.062468,0.439516,0.318136,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
43,2.848794,1.844858,0.053953,0.890187,0.059796,0.423387,0.301014,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
44,2.944132,1.845998,0.081142,0.946902,0.070089,0.473790,0.343348,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
45,2.912854,1.843579,0.080299,0.917341,0.071636,0.423387,0.310842,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
46,2.982082,1.877797,0.080292,0.941354,0.082638,0.413306,0.261263,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
47,2.915995,1.906099,0.035800,0.934389,0.039707,0.405242,0.275754,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
48,2.950017,1.894831,0.042286,0.968399,0.044500,0.437500,0.313770,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
49,2.947179,1.875951,0.053877,0.967744,0.049608,0.399194,0.301160,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
50,2.883700,1.830102,0.066177,0.925024,0.062397,0.417339,0.299415,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
51,2.936516,1.837964,0.084607,0.929383,0.084561,0.312500,0.127583,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
52,2.939371,1.914691,0.036752,0.955861,0.032068,0.389113,0.245602,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
53,2.908241,1.894709,0.042009,0.935727,0.035797,0.445565,0.298720,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
54,2.866161,1.859138,0.056661,0.901827,0.048535,0.417339,0.249502,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
55,2.946426,1.895805,0.050289,0.954317,0.046015,0.469758,0.328699,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
56,2.831025,1.854448,0.059590,0.864901,0.052086,0.370968,0.279614,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
57,2.896917,1.850211,0.066114,0.922406,0.058186,0.427419,0.313816,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
58,2.838718,1.837407,0.065994,0.875034,0.060284,0.447581,0.292719,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
59,2.885886,1.836841,0.073271,0.907510,0.068264,0.425403,0.290407,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
60,2.862646,1.812202,0.070342,0.908102,0.072000,0.431452,0.335675,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
61,2.875912,1.825854,0.073177,0.907224,0.069657,0.437500,0.311903,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
62,2.895894,1.798651,0.089978,0.927926,0.079339,0.443548,0.269467,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
63,3.150863,1.826169,0.174711,0.969299,0.180683,0.282258,0.105287,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
64,3.106872,1.896887,0.148566,0.907054,0.154366,0.330645,0.180746,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
65,2.979752,1.937806,0.055555,0.931044,0.055346,0.415323,0.211068,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
66,2.985336,1.964997,0.021101,0.980171,0.019068,0.334677,0.168726,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
67,2.978403,1.985297,0.008844,0.975769,0.008493,0.409274,0.230294,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
68,2.971196,1.980305,0.009826,0.972776,0.008288,0.421371,0.254488,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
69,2.902070,1.975098,0.011079,0.906255,0.009639,0.423387,0.253240,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
70,2.952871,1.970288,0.016344,0.954220,0.012020,0.433468,0.295459,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
