condition,metric,n_seeds,mean,std,sem,ci95_low,ci95_high,boot_low,boot_high
defended_fgsm_eps0.03,prediction_change_rate,5,0.410400,0.033894,0.015158,0.368315,0.452485,0.382000,0.435200
defended_fgsm_eps0.03,balanced_accuracy,5,0.719878,0.063922,0.028587,0.640508,0.799248,0.669527,0.767009
defended_fgsm_eps0.03,mcc,5,0.428617,0.108080,0.048335,0.294418,0.562817,0.338177,0.504174
defended_fgsm_eps0.03,cohen_kappa,5,0.423273,0.108531,0.048537,0.288514,0.558033,0.335161,0.501422
defended_pgd_eps0.03,fall_recall,5,0.084444,0.059629,0.026667,0.010406,0.158483,0.040000,0.133333
defended_pgd_eps0.03,missed_fall_rate,5,0.915556,0.059629,0.026667,0.841517,0.989594,0.866667,0.960000
defended_pgd_eps0.03,false_fall_alarm_count,5,50.600000,14.432602,6.454456,32.679558,68.520442,39.200000,63.000000
defended_pgd_eps0.03,fall_precision,5,0.063287,0.027469,0.012285,0.029179,0.097395,0.039551,0.084789
defended_pgd_eps0.03,fall_f1,5,0.071184,0.039099,0.017486,0.022636,0.119733,0.039337,0.100713
defended_pgd_eps0.03,accuracy,5,0.233600,0.037186,0.016630,0.187427,0.279773,0.202000,0.262800
defended_pgd_eps0.03,macro_f1,5,0.210204,0.041155,0.018405,0.159104,0.261305,0.177457,0.240446
defended_pgd_eps0.03,walking_recall,0,,,,,,,
defended_pgd_eps0.03,prediction_change_rate,5,0.674800,0.065308,0.029207,0.593709,0.755891,0.619200,0.725220
defended_pgd_eps0.03,balanced_accuracy,5,0.486618,0.014237,0.006367,0.468940,0.504296,0.476239,0.497851
defended_pgd_eps0.03,mcc,5,-0.027910,0.028751,0.012858,-0.063609,0.007788,-0.051332,-0.005102
defended_pgd_eps0.03,cohen_kappa,5,-0.027898,0.028375,0.012690,-0.063130,0.007334,-0.051013,-0.005348
