class_index,class_name,precision,recall,f1,support
0,lie down,0.983333,0.893939,0.936508,66
1,fall,0.977778,0.977778,0.977778,45
2,walk,0.973510,1.000000,0.986577,147
3,pickup,0.943396,1.000000,0.970874,50
4,run,1.000000,0.991736,0.995851,121
5,sit down,0.945946,0.875000,0.909091,40
6,stand up,0.882353,0.967742,0.923077,31
