class_index,class_name,precision,recall,f1,support
0,lie down,0.984127,0.939394,0.961240,66
1,fall,0.977778,0.977778,0.977778,45
2,walk,0.986301,0.979592,0.982935,147
3,pickup,0.942308,0.980000,0.960784,50
4,run,1.000000,0.983471,0.991667,121
5,sit down,0.925000,0.925000,0.925000,40
6,stand up,0.828571,0.935484,0.878788,31
