class_index,class_name,precision,recall,f1,support
0,lie down,0.983607,0.909091,0.944882,66
1,fall,0.978261,1.000000,0.989011,45
2,walk,0.979866,0.993197,0.986486,147
3,pickup,0.943396,1.000000,0.970874,50
4,run,1.000000,0.991736,0.995851,121
5,sit down,0.894737,0.850000,0.871795,40
6,stand up,0.818182,0.870968,0.843750,31
