metric,value
run_name,converged_seed42
best_epoch,41
epochs_run,61
max_epochs,200
early_stopped,True
best_val_macro_f1,0.974925
best_val_accuracy,0.983871
best_val_loss,0.058708
best_train_accuracy,1.000000
best_train_loss,0.005367
test_loss,0.163051
test_accuracy,0.970000
test_macro_f1,0.952150
fall_recall,0.955556
missed_fall_rate,0.044444
fall_precision,1.000000
fall_f1,0.977273
elapsed_seconds,390.987903
