class_index,class_name,precision,recall,f1,support
0,lie down,0.983333,0.893939,0.936508,66
1,fall,0.977778,0.977778,0.977778,45
2,walk,0.993243,1.000000,0.996610,147
3,pickup,0.961538,1.000000,0.980392,50
4,run,1.000000,1.000000,1.000000,121
5,sit down,0.948718,0.925000,0.936709,40
6,stand up,0.885714,1.000000,0.939394,31
