condition,display_condition,reference_condition,model_type,attack_type,epsilon,missed_fall_rate,reference_missed_fall_rate,missed_fall_rate_ratio_vs_undefended_clean,false_alarm_count,reference_false_alarm_count,false_alarm_count_ratio_vs_undefended_clean,recall_sensitivity,reference_recall_sensitivity,recall_retention_vs_undefended_clean,f1_score,reference_f1_score,f1_retention_vs_undefended_clean,balanced_accuracy,reference_balanced_accuracy,balanced_accuracy_retention_vs_undefended_clean,claim_boundary
undefended_clean,Undefended clean reference,undefended_clean,undefended_baseline,none,0.000000,0.359551,0.359551,1.000000,32,32,1.000000,0.640449,0.640449,1.000000,0.640449,0.640449,1.000000,0.802584,0.802584,1.000000,"Research implementation only; window-level safety-risk amplification ratios; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
undefended_fgsm_epsilon_0_03,Undefended FGSM epsilon 0.03,undefended_clean,undefended_baseline,FGSM,0.030000,1.000000,0.359551,2.781247,119,32,3.718750,0.000000,0.640449,0.000000,0.000000,0.640449,0.000000,0.434399,0.802584,0.541251,"Research implementation only; window-level safety-risk amplification ratios; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
undefended_pgd_epsilon_0_03,Undefended PGD epsilon 0.03,undefended_clean,undefended_baseline,PGD,0.030000,1.000000,0.359551,2.781247,115,32,3.593750,0.000000,0.640449,0.000000,0.000000,0.640449,0.000000,0.436604,0.802584,0.543998,"Research implementation only; window-level safety-risk amplification ratios; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
defended_clean,Defended clean,undefended_clean,FGSM_adversarial_training_defended,none,0.000000,0.595506,0.359551,1.656249,22,32,0.687500,0.404494,0.640449,0.631579,0.489796,0.640449,0.764770,0.690119,0.802584,0.859871,"Research implementation only; window-level safety-risk amplification ratios; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
defended_fgsm_epsilon_0_03,Defended FGSM epsilon 0.03,undefended_clean,FGSM_adversarial_training_defended,FGSM,0.030000,1.000000,0.359551,2.781247,72,32,2.250000,0.000000,0.640449,0.000000,0.000000,0.640449,0.000000,0.460309,0.802584,0.573534,"Research implementation only; window-level safety-risk amplification ratios; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
defended_pgd_epsilon_0_03,Defended PGD epsilon 0.03,undefended_clean,FGSM_adversarial_training_defended,PGD,0.030000,1.000000,0.359551,2.781247,56,32,1.750000,0.000000,0.640449,0.000000,0.000000,0.640449,0.000000,0.469129,0.802584,0.584523,"Research implementation only; window-level safety-risk amplification ratios; software-level processed-tensor perturbations only; not clinical validation, not medical-device validation, not diagnostic evidence, not real patient deployment, not regulatory evaluation, not event-level fall validation, not long-lie validation, not time-to-alarm validation, and not physical-layer / packet-level / preamble-level / SDR / over-the-air validation."
