n_fall,n_nonfall,missed_by_R_only,missed_by_B_only,missed_by_both,missed_falls_rescued_by_gate,fa_by_R_only,fa_by_B_only,fa_by_both,fa_suppressed_by_gate,argmax_union_recall,argmax_intersection_recall,recall_R_argmax,recall_B_argmax,split,attack
44,452,0,3,1,0,7,0,8,4,0.9772727272727273,0.9090909090909091,0.9772727272727273,0.9090909090909091,val,clean
44,452,0,20,10,2,53,3,14,40,0.7727272727272727,0.3181818181818182,0.7727272727272727,0.3181818181818182,val,fgsm
44,452,0,16,19,3,64,4,29,55,0.5681818181818182,0.20454545454545456,0.5681818181818182,0.20454545454545456,val,pgd
45,455,0,3,1,0,10,1,14,6,0.9777777777777777,0.9111111111111111,0.9777777777777777,0.9111111111111111,test,clean
45,455,0,21,7,1,52,1,22,39,0.8444444444444444,0.37777777777777777,0.8444444444444444,0.37777777777777777,test,fgsm
45,455,1,26,13,0,70,2,34,51,0.7111111111111111,0.1111111111111111,0.6888888888888889,0.13333333333333333,test,pgd
