TP,FN,FP,TN,n_fall,n_nonfall,fall_recall,missed_fall_rate,false_alarm_rate,fall_precision,fall_f1,binary_accuracy,system,attack,alpha,tau
31,14,104,351,45,455,0.6888888888888889,0.3111111111111111,0.22857142857142856,0.22962962962962963,0.34444444444444444,0.764,f_R_alone_argmax,pgd,1.0,
6,39,36,419,45,455,0.13333333333333333,0.8666666666666667,0.07912087912087912,0.14285714285714285,0.1379310344827586,0.85,f_B_alone_argmax,pgd,0.0,
18,27,57,398,45,455,0.4,0.6,0.12527472527472527,0.24,0.3,0.832,DS_SGE_gate,pgd,0.03,0.16
