class_index,class_name,precision,recall,f1,support
0,lie down,0.861538,0.848485,0.854962,66
1,fall,0.891304,0.911111,0.901099,45
2,walk,0.923611,0.904762,0.914089,147
3,pickup,0.754386,0.860000,0.803738,50
4,run,0.895161,0.917355,0.906122,121
5,sit down,0.794872,0.775000,0.784810,40
6,stand up,0.840000,0.677419,0.750000,31
