metric,value
run_name,gru_seed44
best_epoch,150
epochs_run,170
max_epochs,200
early_stopped,True
best_val_macro_f1,0.947353
best_val_accuracy,0.949597
best_val_loss,0.144124
best_train_accuracy,0.960685
best_train_loss,0.123491
test_loss,0.212465
test_accuracy,0.932000
test_macro_f1,0.909821
fall_recall,0.911111
missed_fall_rate,0.088889
fall_precision,0.931818
fall_f1,0.921348
elapsed_seconds,1083.147852
