metric,value
run_name,gru_seed43
best_epoch,151
epochs_run,171
max_epochs,200
early_stopped,True
best_val_macro_f1,0.922056
best_val_accuracy,0.931452
best_val_loss,0.206964
best_train_accuracy,0.955897
best_train_loss,0.127670
test_loss,0.322174
test_accuracy,0.904000
test_macro_f1,0.874770
fall_recall,0.911111
missed_fall_rate,0.088889
fall_precision,0.911111
fall_f1,0.911111
elapsed_seconds,1062.799091
