class_index,class_name,precision,recall,f1,support
0,lie down,0.935484,0.878788,0.906250,66
1,fall,0.875000,0.933333,0.903226,45
2,walk,0.923077,0.979592,0.950495,147
3,pickup,0.854545,0.940000,0.895238,50
4,run,0.974576,0.950413,0.962343,121
5,sit down,0.888889,0.800000,0.842105,40
6,stand up,0.880000,0.709677,0.785714,31
