attack,split,epsilon,pgd_steps,pgd_alpha,attack_accuracy,attack_macro_f1,fall_recall,missed_fall_rate,fall_precision,fall_f1,fall_true_positive,fall_false_negative,fall_false_positive,fall_true_negative,false_fall_alarm_count,prediction_change_rate,fall_recall_drop_vs_clean,accuracy_drop_vs_clean
fgsm,legacy,0.000000,n/a,n/a,0.927711,0.909926,0.943820,0.056180,0.913043,0.928177,84,5,8,899,8,0.000000,0.000000,0.000000
fgsm,legacy,0.002500,n/a,n/a,0.850402,0.827277,0.910112,0.089888,0.880435,0.895028,81,8,11,896,11,0.083333,0.033708,0.077309
fgsm,legacy,0.005000,n/a,n/a,0.762048,0.736483,0.820225,0.179775,0.784946,0.802198,73,16,20,887,20,0.170683,0.123596,0.165663
fgsm,legacy,0.007500,n/a,n/a,0.638554,0.607358,0.674157,0.325843,0.645161,0.659341,60,29,33,874,33,0.296185,0.269663,0.289157
fgsm,legacy,0.010000,n/a,n/a,0.542169,0.497263,0.516854,0.483146,0.534884,0.525714,46,43,40,867,40,0.393574,0.426966,0.385542
fgsm,legacy,0.012500,n/a,n/a,0.442771,0.392221,0.325843,0.674157,0.367089,0.345238,29,60,50,857,50,0.495984,0.617978,0.484940
fgsm,legacy,0.015000,n/a,n/a,0.377510,0.319853,0.213483,0.786517,0.256757,0.233129,19,70,55,852,55,0.565261,0.730337,0.550201
fgsm,legacy,0.017500,n/a,n/a,0.321285,0.256645,0.134831,0.865169,0.179104,0.153846,12,77,55,852,55,0.622490,0.808989,0.606426
fgsm,legacy,0.020000,n/a,n/a,0.269076,0.209221,0.089888,0.910112,0.109589,0.098765,8,81,65,842,65,0.675703,0.853933,0.658635
fgsm,legacy,0.025000,n/a,n/a,0.205823,0.144389,0.044944,0.955056,0.057971,0.050633,4,85,65,842,65,0.742972,0.898876,0.721888
fgsm,legacy,0.030000,n/a,n/a,0.166667,0.106550,0.011236,0.988764,0.016667,0.013423,1,88,59,848,59,0.781124,0.932584,0.761044
fgsm,legacy,0.035000,n/a,n/a,0.145582,0.084972,0.011236,0.988764,0.018868,0.014085,1,88,52,855,52,0.804217,0.932584,0.782129
fgsm,legacy,0.040000,n/a,n/a,0.127510,0.070454,0.011236,0.988764,0.021277,0.014706,1,88,46,861,46,0.824297,0.932584,0.800201
fgsm,legacy,0.045000,n/a,n/a,0.109438,0.056818,0.000000,1.000000,0.000000,0.000000,0,89,39,868,39,0.845382,0.943820,0.818273
fgsm,legacy,0.050000,n/a,n/a,0.097390,0.043488,0.000000,1.000000,0.000000,0.000000,0,89,35,872,35,0.864458,0.943820,0.830321
fgsm,legacy,0.055000,n/a,n/a,0.090361,0.038686,0.000000,1.000000,0.000000,0.000000,0,89,36,871,36,0.870482,0.943820,0.837349
fgsm,legacy,0.060000,n/a,n/a,0.084337,0.035513,0.000000,1.000000,0.000000,0.000000,0,89,32,875,32,0.874498,0.943820,0.843373
fgsm,legacy,0.075000,n/a,n/a,0.070281,0.031857,0.000000,1.000000,0.000000,0.000000,0,89,35,872,35,0.890562,0.943820,0.857430
