class_index,class_name,precision,recall,f1,support
0,lie down,0.935484,0.878788,0.906250,66
1,fall,0.931818,0.911111,0.921348,45
2,walk,0.953642,0.979592,0.966443,147
3,pickup,0.833333,0.900000,0.865385,50
4,run,0.959350,0.975207,0.967213,121
5,sit down,0.900000,0.900000,0.900000,40
6,stand up,0.923077,0.774194,0.842105,31
