metric,value
attack,fgsm
split,legacy
epsilon,0.030000
alpha,n/a
pgd_steps,n/a
n_windows,996
clean_accuracy,0.921687
clean_macro_f1,0.909354
clean_fall_recall,0.932584
attack_accuracy,0.134538
attack_macro_f1,0.095112
fall_recall,0.011236
missed_fall_rate,0.988764
fall_precision,0.009615
fall_f1,0.010363
fall_true_positive,1
fall_false_negative,88
fall_false_positive,103
fall_true_negative,804
false_fall_alarm_count,103
prediction_change_rate,0.807229
